"","patient","treatment","imageID","pdoID","area","perimeter","perimeter.2","circularity"
"1",377,"N","377N_10",1,14527.18,2047.811,4193529.892,0.04351021347
"2",377,"N","377N_9",1,378.621,263.665,69519.23223,0.06840523993
"3",377,"N","377N_9",2,1487.254,1364.34,1861423.636,0.01003528154
"4",377,"N","377N_9",3,19109.577,2218.233,4920557.642,0.04877826957
"5",377,"N","377N_7",1,14438.427,1813.809,3289903.088,0.05512218392
"6",377,"N","377N_6",1,693.994,383.674,147205.7383,0.05921348408
"7",377,"N","377N_6",2,32622.218,2268.896,5147889.059,0.07959282988
"8",377,"N","377N_5",1,329.85,306.297,93817.85221,0.04415914352
"9",377,"N","377N_5",2,11698.812,1395.455,1947294.657,0.07545703378
"10",377,"N","377N_4",1,9830.697,1189.474,1414848.397,0.08726981252
"11",377,"N","377N_3",1,72048.063,4566.115,20849406.19,0.04340285104
"12",377,"N","377N_2",1,730.53,430.967,185732.5551,0.04940144605
"13",377,"N","377N_2",2,28056.71,2214.273,4903004.919,0.0718727155
"14",377,"N","377N_1",1,38532.631,3403.966,11586984.53,0.04176840352
"15",377,"T","377T_20",1,19556.787,2999.056,8994336.891,0.02730976699
"16",377,"T","377T_20",2,11149.924,2124.667,4514209.861,0.03102271488
"17",377,"T","377T_19",1,54182.576,11284.021,127329129.9,0.005344677647
"18",377,"T","377T_19",2,554.747,484.785,235016.4962,0.02964737553
"19",377,"T","377T_18",1,8351.198,1658.509,2750652.103,0.03813315641
"20",377,"T","377T_17",1,13407.172,1956.889,3829414.558,0.0439738445
"21",377,"T","377T_16",1,16037.527,2779.218,7724052.692,0.02607845223
"22",377,"T","377T_15",1,14764.658,3023.773,9143203.156,0.02028218135
"23",377,"T","377T_14",1,38640.858,5343.124,28548974.08,0.01699988151
"24",377,"T","377T_13",1,14107.199,2864.498,8205348.792,0.02159401434
"25",377,"T","377T_12",1,39204.222,4930.96,24314366.52,0.02025160836
"26",377,"T","377T_11",1,22568.002,3438.896,11826005.7,0.02396871034
"27",377,"T","377T_11",2,3949.581,2243.703,5034203.152,0.009853940308
"28",377,"T","377T_10",1,3922.18,1512.88,2288805.894,0.02152326719
"29",377,"T","377T_10",2,3736.747,1882.162,3542533.794,0.01324857998
"30",377,"T","377T_10",3,21020.775,3222.271,10383030.4,0.02542811914
"31",377,"T","377T_9",1,31258.012,3842.965,14768379.99,0.02658386573
"32",377,"T","377T_8",1,990.239,386.206,149155.0744,0.08338571039
"33",377,"T","377T_8",2,17283.339,2978.307,8870312.586,0.02447250147
"34",377,"T","377T_8",3,890.801,388.722,151104.7933,0.07404437885
"35",377,"T","377T_7",1,1391.091,745.549,555843.3114,0.03143350401
"36",377,"T","377T_7",2,23996.49,2077.248,4314959.254,0.06984907544
"37",377,"T","377T_6",1,17046.206,2094.114,4385313.445,0.04882213097
"38",377,"T","377T_5",1,18876.924,2122.93,4506831.785,0.05260772462
"39",377,"T","377T_4",1,11446.513,1292.079,1669468.142,0.08611617056
"40",377,"T","377T_3",1,39642.643,3595.999,12931208.81,0.03850464434
"41",377,"T","377T_2",1,7808.859,1296.29,1680367.764,0.05836774017
"42",377,"T","377T_2",2,1708.877,457.067,208910.2425,0.1027402719
"43",377,"T","377T_1",1,4952.228,950.533,903512.9841,0.06884237944
"44",377,"C","377C_10",1,38024.069,2848.922,8116356.562,0.05884195735
"45",377,"C","377C_10",2,1544.297,632.478,400028.4205,0.04848748071
"46",377,"C","377C_9",1,407.401,171.041,29255.02368,0.1749086453
"47",377,"C","377C_9",2,18474.348,2412.25,5818950.063,0.03987623341
"48",377,"C","377C_8",1,28968.881,2270.151,5153585.563,0.07060116514
"49",377,"C","377C_7",1,13443.018,1410.088,1988348.168,0.08491687161
"50",377,"C","377C_7",2,13332.896,1577.13,2487339.037,0.06732543143
"51",377,"C","377C_6",1,19159.554,1354.718,1835260.86,0.1311225034
"52",377,"C","377C_6",2,1613.92,471.425,222241.5306,0.09121083329
"53",377,"C","377C_5",1,59262.849,6163.175,37984726.08,0.01959580758
"54",377,"C","377C_4",1,12861.903,1427.308,2037208.127,0.07929749521
"55",377,"C","377C_4",2,15694.062,1392.308,1938521.567,0.1016844084
"56",377,"C","377C_4",3,8452.876,943.554,890294.1509,0.1192506122
"57",377,"C","377C_3redo",1,34655.603,2089.223,4364852.744,0.09972257926
"58",377,"C","377C_2",1,16512.311,1383.235,1913339.065,0.1083940792
"59",377,"C","377C_2",2,25479.091,3116.696,9713793.956,0.03294463362
"60",377,"C","377C_1",1,19618.31,2778.27,7718784.193,0.0319228997
"61",318,"C","318C_2",1,21652.212,1701.162,2893952.15,0.0939724531
"62",318,"C","318C_2",2,5777.37,857.555,735400.578,0.09867243699
"63",318,"C","318C_2",3,1630.637,498.472,248474.3348,0.08242622216
"64",318,"C","318C_3",1,2636.731,558.949,312423.9846,0.1060012771
"65",318,"C","318C_3",2,1248.225,548.583,300943.3079,0.05209521391
"66",318,"C","318C_3",4,8217.638,819.127,670969.0421,0.153827564
"67",318,"C","318C_3",3,932.679,198.818,39528.59712,0.2963537563
"68",318,"C","318C_3",5,10469.889,904.807,818675.7072,0.1606274678
"69",318,"N","318N_1",1,12453.124,965.159,931531.8953,0.1679075491
"70",318,"N","318N_1",2,15332.848,1052.742,1108265.719,0.1737675069
"71",318,"N","318N_1",3,11588.862,1253.665,1571675.932,0.09261203518
"72",318,"N","318N_2",1,47645.552,2862.616,8194570.363,0.07302739577
"73",318,"N","318N_2",2,3002.943,658.636,433801.3805,0.08694523756
