"","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"1","ANKRD30A",3.69215334189821e-133,5.47711834099461,0.937,0.027,8.95716400744506e-129
"2","XBP1",4.04524113286972e-122,-0.171911927272174,0.994,0.975,9.81375498834194e-118
"3","ETFB",7.35261932752287e-121,0.415880003611727,0.988,0.944,1.78374544885705e-116
"4","LDHB",8.56364943784168e-116,1.99851807672968,0.975,0.653,2.07754135362039e-111
"5","ANXA1",6.42693836097036e-110,-1.04395054312792,0.167,0.178,1.55917524637141e-105
"6","SLPI",1.26884491344021e-105,-1.23931191090755,0.438,0.539,3.07821776000595e-101
"7","RARRES1",2.26864946386173e-103,-0.673228207151455,0.271,0.172,5.50374359932857e-99
"8","TBX3",1.07358298774318e-102,1.46125417096072,0.979,0.822,2.60451232826496e-98
"9","TFAP2B",3.26568091443572e-100,5.32510327452948,0.888,0.026,7.92254189842106e-96
"10","TIMP1",1.16344383701035e-95,-1.75015042609679,0.873,0.99,2.82251474858712e-91
"11","SFRP1",3.13525591096126e-92,-1.60627515930204,0.063,0.132,7.60613083999202e-88
"12","TCIM",4.08456988960395e-90,3.13634199292648,0.963,0.466,9.90916655217917e-86
"13","FBP1",1.56713232054425e-89,1.21352853963473,0.933,0.642,3.80186300964035e-85
"14","AGR2",2.73222888489371e-88,-0.895412083561202,0.994,0.95,6.62838727475214e-84
"15","SLC25A37",5.3527064683443e-86,-0.58743333661526,0.235,0.253,1.29856658922033e-81
"16","TFF3",2.27724168371409e-84,-0.186511966047343,0.963,0.938,5.52458832469037e-80
"17","WFDC2",1.33802157161433e-82,-0.399728745937235,0.852,0.833,3.24604033273637e-78
"18","NFIB",6.8520036788693e-78,0.73716747712206,0.333,0.112,1.66229609249369e-73
"19","MT-CO2",1.89440146616747e-77,-0.440244680945474,1,1,4.59581795692228e-73
"20","MIA",3.06797392803472e-77,-2.29799980096774,0.033,0.079,7.44290474941222e-73
"21","LIMCH1",8.85833804473764e-77,2.6884113725986,0.925,0.343,2.14903280965335e-72
"22","KRT6B",6.75259935377072e-75,-2.73500707353162,0.023,0.066,1.63818060322478e-70
"23","LCN2",3.16915606100991e-74,-2.7548170784183,0.067,0.191,7.68837260401003e-70
"24","GOLM1",5.08848502825984e-74,1.32068781179636,0.946,0.605,1.23446646785584e-69
"25","AREG",1.81287567343867e-72,4.25983244499792,0.94,0.301,4.39803638376221e-68
"26","SPTSSB",7.74675607454242e-72,2.27510100423404,0.867,0.385,1.87936302368399e-67
"27","AFF3",4.62640461044443e-71,-0.382409328520178,0.873,0.819,1.12236575849382e-66
"28","SMIM14",8.90341301015167e-71,-0.449907584814475,0.988,0.952,2.1599679962628e-66
"29","FOXA1",1.38454503562952e-70,-0.11895995487245,0.915,0.837,3.35890625643722e-66
"30","CHI3L1",1.33603073469843e-68,-1.59270817963802,0.05,0.137,3.24121056237839e-64
"31","ENPP1",1.94146260190671e-66,1.75689385473888,0.802,0.316,4.70998827222568e-62
"32","KRT19",7.28389819083861e-66,-0.344121708288048,0.946,0.987,1.76707370109745e-61
"33","RASD1",9.96853173249126e-66,1.79873225367674,0.856,0.497,2.41836579830238e-61
"34","RAB11FIP1",2.07702451003726e-65,2.02730915426669,0.952,0.635,5.03886146135039e-61
"35","KLK5",4.0187832381367e-65,-1.98363841423844,0.025,0.053,9.74956813571963e-61
"36","SERF2",5.8371001163464e-64,-1.45665058349322,1,1,1.41608048822564e-59
"37","KRT5",1.31342581763746e-63,-1.83702677271129,0.04,0.077,3.18637103358847e-59
"38","PEBP1",3.27167314763989e-63,-1.3144282431962,0.998,0.997,7.93707905617438e-59
"39","GALNT6",5.90463976888534e-63,-0.765127388771587,0.923,0.91,1.43246560793158e-58
"40","SCCPDH",2.85054989291048e-62,1.54666050402617,0.898,0.526,6.91543404020083e-58
"41","ARL4C",5.02055234683584e-62,-1.87907197102895,0.029,0.063,1.21798599934238e-57
"42","KRT18",8.55397995751158e-62,-0.649991747546059,1,0.991,2.07519553769231e-57
"43","EFHD1",1.56147118474475e-61,0.522102737470902,0.777,0.592,3.78812909419077e-57
"44","GALNT7",1.56505754643158e-61,1.29056297261219,0.933,0.636,3.79682960764302e-57
"45","TCN1",2.80491383203929e-61,-2.3417339070671,0.035,0.068,6.80472095652731e-57
"46","GSTM3",4.64571431531738e-60,-2.18797925233904,0.933,0.954,1.127050292896e-55
"47","SAA1",1.99437981831867e-59,-2.62855453792749,0.037,0.121,4.83836543924109e-55
"48","CALD1",1.01712907916912e-58,-0.11292900583703,0.225,0.154,2.46755514606428e-54
"49","MT-ATP6",1.95811544592127e-58,-0.547179098467493,1,1,4.75038807180501e-54
"50","ASPH",3.32401562040848e-58,-0.47762497921014,0.994,0.984,8.06406189511097e-54
"51","MIF",6.95931502154811e-58,0.205342429433209,1,1,1.68832982422757e-53
"52","CRYAB",9.55050553247717e-58,-2.53094278890107,0.037,0.092,2.31695264217896e-53
"53","MFGE8",4.47786527167468e-57,-1.18599790257707,0.171,0.327,1.08633011490828e-52
"54","NCOA7",2.01717821791142e-56,0.847732173729103,0.506,0.298,4.89367435665311e-52
"55","KRT14",1.5376466322951e-55,-1.53403382381377,0.06,0.138,3.73033072994791e-51
"56","NQO1",2.80589374205508e-55,-0.515337715606177,0.962,0.955,6.80709821822563e-51
"57","S100A9",3.67847647772912e-55,-3.02256252050643,0.06,0.067,8.92398393497085e-51
"58","AP2S1",4.55977608677232e-55,-0.934495275624773,0.977,0.986,1.10620167865097e-50
"59","SAA2",2.56277699605541e-54,-1.81772870912835,0.021,0.064,6.21729699243043e-50
"60","LTF",1.24892657823593e-53,-2.22942927761439,0.073,0.314,3.02989587880036e-49
"61","PLK2",2.45604353757481e-53,0.705894325883477,0.994,0.931,5.9583616221565e-49
"62","HLA-B",4.38527613080075e-53,-2.83536630252228,0.85,0.997,1.06386798933226e-48
"63","DHCR24",7.4532361637166e-53,0.152499934292754,0.99,0.939,1.80815509331765e-48
"64","SYTL2",7.84062965066747e-53,0.704368809499306,0.906,0.743,1.90213675325193e-48
"65","BZW1",3.35401741624545e-51,-0.324498650428867,0.988,0.974,8.13684625181146e-47
"66","GABRP",1.506933621798e-50,-1.71899475554299,0.019,0.033,3.65582096648195e-46
"67","SERHL2",1.55648437798705e-50,4.81958177814602,0.679,0.049,3.77603110099659e-46
"68","FXYD3",3.70413016741051e-50,-1.06385891867247,0.998,0.995,8.9862197861379e-46
"69","MT-CO1",4.61954350717613e-49,-0.336367996239224,1,1,1.12070125484093e-44
"70","TFF1",7.31524281646538e-49,-0.512570576886501,0.86,0.81,1.7746779072745e-44
