"","id","module","supermodule","dim_1","dim_2"
"1","S100A6",3,1,-1.14263181110876,-0.599164959458408
"2","GAPDH",2,1,1.9108149586056,-4.62062668469339
"3","S100A13",2,1,0.0762302456234201,-2.96718525555521
"4","KRT19",1,1,-0.583834928479363,0.929566386671963
"5","ADIRF",3,1,-1.26680163761633,-0.746745821503696
"6","KRT7",1,1,-1.64258674999731,0.437136534186307
"7","SH3BGRL",1,1,-0.100463670697381,1.17002815339178
"8","RPL41",6,1,-5.79299922009962,3.40595341059774
"9","BAG1",4,1,1.59104939082606,0.736073139639798
"10","RPS4X",6,1,-5.31416612586038,2.32069537374586
"11","CCND1",1,1,-0.720768732037713,1.822990502747
"12","S100A14",3,1,-1.06617717167394,-0.412979599503574
"13","RPS15",6,1,-5.83517946025388,3.28999877307028
"14","KRT8",1,1,-1.58690194508093,0.446485999556485
"15","S100A11",3,1,-1.25837163349645,-0.84738897946268
"16","RPS28",6,1,-5.74092305919187,3.3546330961904
"17","CYB5A",2,1,1.87421007731898,-4.62695908215433
"18","ATP5F1E",2,1,0.0798284588192208,-3.60919069912821
"19","MYL6",1,1,-1.55630664249914,0.0313729080876739
"20","SERF2",2,1,-0.0794117869998709,-3.58091568615824
"21","S100A16",3,1,-1.05341033360021,-0.539481636551914
"22","KRT18",1,1,-1.47889475246923,0.506232026549283
"23","RPS27A",6,1,-5.62902839204328,3.19560647341818
"24","RPL34",6,1,-5.60983983894842,3.43389582964987
"25","GPX4",2,1,-0.206565660443474,-2.68115162518412
"26","RPL6",6,1,-5.16011969467657,2.76282286974997
"27","LDHA",2,1,1.94635172465784,-4.55944990780741
"28","PLAAT3",7,1,0.169131475481819,-0.719230886963901
"29","EEF1A1",8,1,-3.49783460518377,2.35605070325941
"30","TIMP1",3,1,-1.59321622272985,-1.81834268238932
"31","UBL5",2,1,0.297235208544563,-3.66314053204447
"32","RPS10",6,1,-5.53585314473169,3.08213937613577
"33","PPDPF",2,1,-0.444452089276482,-2.93577646878153
"34","S100A10",3,1,-1.12694196125524,-0.886458870438632
"35","SRP14",1,1,1.11149092296107,0.268521908255521
"36","PRDX2",3,1,-0.665869516339471,-2.04989957478434
"37","RPL32",6,1,-5.55919682702081,2.68765056464285
"38","FTH1",2,1,-0.472670835461785,-2.67674660351664
"39","CLDN4",8,1,-1.56455926319616,2.72384679648489
"40","RPS14",6,1,-5.65664814135091,3.21957588526815
"41","RPLP1",6,1,-5.7825878085758,3.2340561184606
"42","SLC39A6",2,1,-0.592703145947625,-3.10984015133768
"43","LXN",8,1,-1.5172696532871,1.65751737687201
"44","RPL17",6,1,-5.05378596207159,3.11192941996664
"45","CHCHD2",2,1,-0.270678800549676,-3.77405905392557
"46","RPL19",6,1,-5.62999580523031,2.51401794287771
"47","RPL28",6,1,-5.46608384421127,2.52544486853689
"48","RPL39",6,1,-5.73030309101598,3.34974468085379
"49","RPL29",6,1,-5.34812796746412,2.32079136702627
"50","MIF",2,1,1.16587515452845,-3.8250281777659
"51","ATP5MC3",2,1,0.790290075335334,-2.54514813092142
"52","H3F3A",2,1,0.978252130541633,-3.0775015321055
"53","POLR2L",2,1,0.298851209673713,-3.72775435116678
"54","RPS26",2,1,0.885562139544319,-2.75211834576517
"55","DSTN",1,1,-2.01103429218786,-0.0640908446589081
"56","SLC25A3",7,1,0.183603960070442,-0.959772821930942
"57","RPL11",6,1,-5.5462012412216,2.61643344494909
"58","PTMA",4,1,3.13786430934412,1.51256451341719
"59","VAMP8",2,1,1.11711664775355,-3.03395914700418
"60","ATP5MC2",3,1,0.21636696437342,-1.57341742184549
"61","RPL26",6,1,-5.35111689848857,2.94504177901358
"62","AREG",1,1,-0.322786611523797,1.60789087745756
"63","RPS2",6,1,-5.05751312991636,2.34028292033285
"64","RPSA",6,1,-4.8708221437599,2.19741946789831
"65","OAZ1",4,1,1.52345676997645,0.530557635756436
"66","RPS13",6,1,-5.60987479707258,3.08768177363485
"67","RPL14",6,1,-5.27982449254053,2.29736519190878
"68","SKP1",1,1,-0.190972131695916,-0.340024229554233
"69","RPL35A",6,1,-5.74887762686269,3.2771708998403
"70","NACA",7,1,0.745285230669807,-0.569226976899204
"71","RPL37",6,1,-5.37744038460808,3.333966616126
"72","RPS3",6,1,-5.58430418094652,2.60186493727774
"73","PTP4A2",1,1,0.101690488848518,1.72058423194498
"74","AGR2",3,1,-1.01306275745886,-1.76608490612894
"75","DYNLL1",4,1,3.85076923945887,1.63169470760435
"76","RPLP0",6,1,-5.06269235631483,2.50968629452795
"77","C4orf48",2,1,-0.365589422192742,-3.17759298947245
"78","PRDX1",1,1,-2.44939951321142,-0.606403347519931
"79","COX6C",2,1,-0.222447675671746,-3.35510325100809
"80","FHL2",1,1,-1.6375158252384,0.92730754944891
"81","RPL37A",6,1,-4.93938903233068,3.46436405512899
"82","RPS12",6,1,-5.41952380260484,3.00089359614462
"83","RPS24",6,1,-5.49901497086542,2.79019767376989
"84","RPL15",6,1,-5.19131268283384,2.58009624812216
"85","RACK1",6,1,-5.24291171601074,2.27558309170813
"86","RPL35",6,1,-5.64323238750951,3.53911578986258
"87","MRPL41",2,1,1.81820555308802,-2.3397633996287
"88","H2AFJ",2,1,1.45476074794276,-2.89127277996927
"89","GABARAP",7,1,-0.13248614689367,-0.688169714478549
"90","UQCRQ",2,1,0.19245977977259,-3.45002960827738
"91","TXNDC17",2,1,0.562734323534797,-3.20128893521219
"92","RPL8",6,1,-5.58075785359399,2.61154681775183
"93","CFL1",3,1,-0.863230031933953,-0.932002064255771
"94","CD24",8,1,-1.55730537792699,1.32792884442419
"95","EIF1",4,1,1.5867273388241,0.16504371497244
"96","RPS27",6,1,-5.56699782332437,3.26415205332846
"97","RPL36",6,1,-5.76529614349859,3.40591752860159
"98","MALAT1",5,1,1.25215073207362,2.31987503501982
