"","geneID","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"1","TCF25",0,-0.638763580653482,0.522,0.812,0
"2","CSTB",0,-0.802847334202985,0.886,0.961,0
"3","COMMD6",0,-0.469480085291238,0.914,0.978,0
"4","RPS10",0,-0.721122823286797,0.939,0.991,0
"5","ENO1",0,-0.622983737603228,0.955,0.99,0
"6","UQCRH",0,-0.28654301137745,0.968,0.994,0
"7","TOMM7",0,-0.458382909720692,0.969,0.994,0
"8","CHCHD2",0,-0.315544807486349,0.972,0.996,0
"9","COX4I1",0,-0.326051143376347,0.97,0.994,0
"10","SUMO2",0,-0.31794480662797,0.973,0.997,0
"11","GNAS",0,-0.38380352004068,0.981,0.996,0
"12","ATP5F1E",0,-0.175007098972848,0.985,0.999,0
"13","UBC",0,-0.373671581484439,0.983,0.997,0
"14","CFL1",0,-0.381662456893154,0.986,0.998,0
"15","COX7C",0,-0.265336353531543,0.986,0.998,0
"16","PFDN5",0,-0.335013576397299,0.986,0.998,0
"17","BTF3",0,-0.403114617978043,0.988,0.999,0
"18","RPL31",0,-0.535222239392817,0.987,0.998,0
"19","EEF2",0,-0.573920937095057,0.98,0.99,0
"20","EEF1D",0,-0.484327800973585,0.991,0.998,0
"21","RPL38",0,-0.459282822426429,0.991,0.998,0
"22","MT-ND1",0,-0.435546457118162,0.994,0.999,0
"23","MT-ND3",0,-0.364581258482883,0.994,0.999,0
"24","RPL4",0,-0.490760994062788,0.994,0.999,0
"25","H3F3A",0,-0.216108535489014,0.996,0.999,0
"26","H3F3B",0,-0.392792076340211,0.996,0.999,0
"27","RPS21",0,-0.503339676233414,0.997,1,0
"28","ACTG1",0,-0.609902812034155,0.998,1,0
"29","EEF1G",0,-0.552209675497435,0.998,1,0
"30","MT-CO3",0,-0.577785983467653,0.998,1,0
"31","NME2",0,-0.363342186580987,0.997,0.999,0
"32","NPM1",0,-0.396758185561359,0.998,1,0
"33","PPIA",0,-0.335426861841406,0.997,0.999,0
"34","RPL36A",0,-0.479200880827556,0.998,1,0
"35","SERF2",0,-0.154501506063587,0.998,1,0
"36","ACTB",0,-0.606558162174968,0.999,1,0
"37","EIF1",0,-0.424882923079531,0.999,1,0
"38","FAU",0,-0.403487595964197,0.999,1,0
"39","GAPDH",0,-0.52982606863967,0.999,1,0
"40","MIF",0,-0.437643615369045,0.999,1,0
"41","NACA",0,-0.309533035462933,0.999,1,0
"42","RPL10A",0,-0.507950930144742,0.999,1,0
"43","RPL12",0,-0.476517728157201,0.999,1,0
"44","RPL22",0,-0.420192027542137,0.999,1,0
"45","RPL23",0,-0.414845711863765,0.999,1,0
"46","RPL24",0,-0.490128098086994,0.999,1,0
"47","RPL27",0,-0.479459714241161,0.999,1,0
"48","RPL27A",0,-0.541825260676255,1,0.999,0
"49","RPL29",0,-0.590754693830559,0.999,1,0
"50","RPL3",0,-0.595995580211406,0.999,1,0
"51","RPL36",0,-0.537764890119504,0.999,1,0
"52","RPL37",0,-0.48504669226794,0.999,1,0
"53","RPL39",0,-0.468615824702137,0.999,1,0
"54","RPS17",0,-0.459849009493492,0.999,1,0
"55","RPS29",0,-0.487484485750244,0.998,0.999,0
"56","RPS5",0,-0.539801202342979,0.999,1,0
"57","RPSA",0,-0.539447802247048,0.999,1,0
