"","geneID","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"1","RPS10",0,-0.587550179505258,0.969,0.994,0
"2","RPL15",0,-0.382002259702382,1,1,0
"3","RPL23A",0,-0.50813337742238,1,1,0
"4","RPL30",0,-0.340250672171742,1,1,0
"5","RPL36",0,-0.395207188054642,1,1,0
"6","RPL41",0,-0.321648705298168,1,1,0
"7","RPLP1",0,-0.255413200166007,1,1,0
"8","RPS15",0,-0.479751037925305,1,1,0
"9","RPS15A",0,-0.308808538006419,1,1,0
"10","RPS18",0,-0.411502248899025,1,1,0
"11","RPS27",0,-0.335603387053601,1,1,0
"12","RPS19",4.30825243173567e-321,-0.424552428015496,1,1,1.02411468554789e-316
"13","RPL32",1.82960166672524e-317,-0.358273492026363,1,1,4.34914612197257e-313
"14","RPL9",9.4106254692136e-317,-0.327692947769993,1,1,2.23699978028676e-312
"15","RPL24",1.79823344381144e-315,-0.338806674891238,1,1,4.27458071928417e-311
"16","RPL29",5.85779825978437e-313,-0.447171657585073,1,1,1.39245722433334e-308
"17","RPS28",9.28620684795564e-312,-0.300774506521948,1,1,2.20742422982754e-307
"18","EEF1G",2.54749635332198e-308,-0.407918102699893,1,1,6.05565358148168e-304
"19","RPL17",6.6275062096498e-295,-0.334067626322332,1,1,1.57542450109585e-290
"20","RPS2",1.44974699675844e-293,-0.36729915292527,1,1,3.44619358599449e-289
"21","RPL28",6.32709716225537e-291,-0.353548102655177,1,1,1.50401426643972e-286
"22","RPL35A",1.43759100462755e-289,-0.331456399212581,1,1,3.41729757710014e-285
"23","TPT1",4.08238296028507e-289,-0.327074749630695,1,1,9.70423253489364e-285
"24","RPL7A",1.61499034338505e-288,-0.454514492620135,1,1,3.8389935452606e-284
"25","RPL37",7.16916209334782e-285,-0.329372830307453,1,1,1.70418152120971e-280
"26","RPS13",7.86090005519048e-285,-0.340096589556071,1,1,1.86861455211933e-280
"27","RPL13A",4.92464199908198e-280,-0.405397183416211,1,1,1.17063664960178e-275
"28","RPL13",1.51155201805169e-279,-0.406952731458966,1,1,3.59311030211068e-275
"29","RPL18A",1.48177555309404e-278,-0.452359636664273,1,1,3.52232866725983e-274
"30","RPL11",2.1428244306603e-278,-0.342018740158213,1,1,5.0937079541226e-274
"31","UBA52",9.72748462001594e-277,-0.249860601248541,1,1,2.31232036902399e-272
"32","RPL3",1.72268858197602e-276,-0.441673297382589,0.999,1,4.0950030282152e-272
"33","RPS5",1.21392048482828e-274,-0.392894272239,1,1,2.88561038448531e-270
"34","RPL8",8.37903238756373e-270,-0.369374821177601,1,1,1.99177978884777e-265
"35","RPS16",5.18104974976176e-268,-0.3824201606309,1,1,1.23158733601587e-263
"36","RPL14",2.80063270636061e-264,-0.36933571524487,1,1,6.65738400628981e-260
"37","RPL27",5.63644062527647e-260,-0.31996135109943,1,1,1.33983830103447e-255
"38","RPS21",1.01525865046802e-256,-0.345070336017527,0.999,1,2.41337133802752e-252
"39","RPS25",1.78957942031764e-256,-0.383601949133949,1,1,4.25400924003706e-252
"40","RPS3A",3.13779369268848e-255,-0.314106553518674,1,1,7.45884938688979e-251
"41","RPS23",1.29142671469509e-253,-0.30721269332048,1,1,3.06985044350171e-249
"42","RPL18",1.11613859794003e-252,-0.36225356993071,1,1,2.65317306116324e-248
"43","RPL10",4.38672562331716e-252,-0.390290029369398,1,1,1.04276854791872e-247
"44","RPS14",1.91673537006404e-251,-0.320381506472852,1,1,4.55627164817923e-247
"45","RPL39",1.9216878691766e-250,-0.313003207923204,1,1,4.56804423381971e-246
"46","RPS3",4.48652044599725e-249,-0.392649877090952,1,1,1.06649077521801e-244
"47","RPL37A",9.73168573233589e-249,-0.400020080240406,1,1,2.31331901543356e-244
"48","RPL38",7.18270549700543e-248,-0.328457155828968,0.997,0.999,1.70740092369316e-243
"49","RPS8",1.50058041332709e-247,-0.360603495176485,1,1,3.56702970051982e-243
"50","RACK1",7.15586172735136e-246,-0.400580142898806,1,1,1.70101989120869e-241
"51","RPS7",4.22363083244531e-244,-0.289517421228824,1,1,1.00399928518058e-239
"52","RPL27A",3.18972923809981e-243,-0.378087677729446,1,1,7.58230537188706e-239
"53","RPL26",1.45086508107545e-238,-0.401784143475332,1,1,3.44885138422445e-234
"54","RPL35",5.1606222755048e-237,-0.39445096633127,1,1,1.22673152111025e-232
"55","RPS4X",5.00765486417472e-236,-0.312342187278226,1,1,1.19036963776297e-231
"56","RPS11",3.10370087014244e-234,-0.372416975018377,1,1,7.3778073384156e-230
"57","RPL10A",6.78698466955164e-232,-0.358035461774439,1,1,1.61333412579912e-227
"58","RPL19",1.25595449720006e-231,-0.302787947590212,1,1,2.98552943529427e-227
"59","RPL12",6.60175379608438e-228,-0.324464244965887,1,1,1.56930289486722e-223
"60","RPLP0",3.028175003063e-225,-0.321865449755467,1,1,7.19827479978106e-221
"61","TCF25",5.12910707992697e-224,-0.462760509475652,0.643,0.851,1.21924004396944e-219
"62","RPS24",7.82679746794686e-216,-0.282316173877489,1,1,1.86050802610565e-211
"63","RPLP2",1.84369562868134e-215,-0.306353473357907,1,1,4.38264887893841e-211
"64","RPL21",2.41847231514076e-215,-0.300375868717667,1,1,5.7489505403211e-211
"65","RPS9",4.82170676526257e-213,-0.351638666177987,1,1,1.14616791517057e-208
"66","RPS29",3.60545233733108e-211,-0.332344403251385,1,1,8.57052075106971e-207
"67","ACTB",4.68006558650371e-207,-0.436134983336914,1,1,1.1124983905678e-202
"68","CSTB",2.70997043491971e-206,-0.662503551790983,0.948,0.976,6.44187072084764e-202
"69","RPL4",7.30864894464503e-205,-0.345098294572283,0.999,1,1.73733894063157e-200
"70","NACA",1.64441797410284e-204,-0.170005068914369,1,1,3.90894596623986e-200
"71","RPS27A",9.48345315581588e-202,-0.247573958497304,1,1,2.25431164966899e-197
"72","MT-ND3",8.64005912725109e-201,-0.227675417603072,0.997,0.999,2.05382845513886e-196
"73","RPS12",1.18372183666426e-200,-0.292920807590904,1,1,2.81382517793461e-196
"74","FAU",5.27219145464986e-198,-0.241777350073009,1,1,1.25325263068482e-193
"75","GAPDH",8.11826257818064e-196,-0.39175298457294,1,1,1.92979219745932e-191
"76","RPL34",8.35574791770347e-195,-0.294657887736824,1,1,1.98624483751729e-190
"77","RPL5",8.12300256346161e-194,-0.303701806024984,1,1,1.93091893936046e-189
"78","BTF3",1.37248805639839e-193,-0.253870491853055,0.997,0.999,3.26254135886461e-189
"79","ACTG1",1.86947187057632e-190,-0.438385341278604,1,1,4.44392158354697e-186
"80","RPL22",3.31222126840015e-185,-0.259162761497833,1,1,7.873481177114e-181
"81","RPL36A",1.59624349184619e-182,-0.317966151345856,1,1,3.79443040446757e-178
"82","SUMO2",1.90290978402634e-181,-0.171816734956611,0.99,0.997,4.52340684760901e-177
"83","RPS6",1.37471137546676e-178,-0.331749223929252,1,1,3.26782641062203e-174
"84","EEF1A1",5.83162308303654e-171,-0.285637077241326,1,1,1.38623512306862e-166
"85","CEBPB",1.4574830897696e-168,-0.615297284168172,0.821,0.91,3.46458305269132e-164
"86","EIF1",9.29851439738779e-168,-0.263763935117889,1,1,2.21034985740305e-163
"87","MT-ND1",7.8457803559706e-164,-0.285507210801224,0.997,1,1.86502044841777e-159
"88","NDUFB3",3.79101732570732e-163,-0.576336352909215,0.606,0.715,9.01162728493887e-159
"89","MT-CO3",6.35928640819713e-162,-0.420504983413601,0.999,1,1.51166597209254e-157
"90","COMMD6",8.36363521187696e-159,-0.313163054411242,0.964,0.986,1.98811972621527e-154
"91","RPL7",1.17593089261195e-158,-0.265200082148235,1,1,2.79530532482788e-154
"92","CFL1",8.66215029565687e-158,-0.222896429210336,0.997,0.999,2.05907974678059e-153
"93","ENO1",1.71298952205436e-157,-0.444649723135375,0.984,0.994,4.07194739287541e-153
"94","UBC",4.45411903518905e-156,-0.234223573647232,0.995,0.998,1.05878863585479e-151
"95","TMSB10",3.44019884020875e-155,-0.340519859641531,1,1,8.17769666306022e-151
"96","EEF1D",2.41626886362604e-154,-0.36400774545648,0.996,0.998,5.74371271572546e-150
"97","RPL6",6.73505546062511e-153,-0.20151604947396,1,1,1.60099003354519e-148
"98","RPSA",8.82542760807385e-152,-0.378113918713944,1,1,2.09789239671524e-147
"99","FTH1",4.8481074179325e-151,-0.184003564499044,1,1,1.15244361431674e-146
"100","RPL31",1.08254673384115e-150,-0.381202693142865,0.996,0.998,2.57332184101381e-146
"101","PFDN5",1.36573914313024e-149,-0.208644431502516,0.996,0.999,3.24649851713488e-145
"102","SRSF9",2.1484027297324e-149,-0.344118525905847,0.898,0.951,5.10696812884689e-145
"103","H3F3B",1.57099150263183e-146,-0.269183767045328,0.999,1,3.73440390090613e-142
"104","TOMM7",4.62033363148034e-142,-0.294184475430269,0.989,0.996,1.09829950753919e-137
"105","GNAS",4.81943486652377e-139,-0.249373692107505,0.995,0.998,1.14562786212137e-134
"106","EEF2",1.61085861535065e-136,-0.40736902302364,0.986,0.99,3.82917201455003e-132
"107","CD81",2.77613410103475e-136,-0.303121194295419,0.975,0.992,6.59914837156971e-132
"108","COX7C",1.42099090111214e-135,-0.122096026787242,0.997,0.999,3.37783747103366e-131
"109","MIR205HG",1.86207981920615e-133,-0.725559516276898,0.869,0.898,4.42634993823493e-129
"110","MYL12A",2.78449158554078e-130,-0.385891111771249,0.964,0.984,6.61901494798898e-126
"111","MIF",2.47581532214017e-129,-0.278266841746073,1,1,5.88526060225941e-125
"112","COX4I1",4.73830799228977e-128,-0.177289699459127,0.991,0.997,1.1263431928472e-123
"113","OAZ1",2.55060720674588e-125,-0.267944597335157,0.991,0.997,6.06304839115564e-121
"114","PCBP2",1.08565817142607e-123,-0.346919469193739,0.914,0.962,2.58071803929691e-119
"115","EIF3E",2.30337163114369e-122,-0.35371892833357,0.958,0.984,5.47534470439166e-118
"116","ACTN1",7.53166002251973e-121,-0.560677273979397,0.82,0.874,1.79035090395317e-116
"117","PPIA",1.55669914552149e-120,-0.172146781740483,1,1,3.70042953881912e-116
"118","DDX5",6.24657739866749e-120,-0.315017946059347,0.99,0.998,1.48487391343725e-115
"119","ZFAS1",6.42236676208943e-120,-0.404530284139949,0.958,0.984,1.52666080301628e-115
