"","geneID","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"1","EEF1A1",3.60456983048668e-19,0.292146968284492,0.999,0.981,4.77857822427619e-15
"2","MT-ND3",7.21446933303287e-15,-0.519685364753592,0.75,0.866,9.56422199480168e-11
"3","TMSB4X",5.21601341281943e-14,-0.386898994203069,0.977,0.991,6.91486898137471e-10
"4","RPS15",1.54474473730888e-10,-0.247755302949968,0.986,0.978,2.04786809825038e-06
"5","RPS14",2.72594899113339e-10,-0.186069617758087,0.995,0.984,3.61379057754554e-06
"6","MT-ND1",3.93552984549126e-10,-0.380183833679447,0.804,0.891,5.21733191616777e-06
"7","PABPC1",4.31150511210683e-10,0.586096643155648,0.58,0.47,5.71576232712003e-06
"8","MTRNR2L12",1.33568406413485e-08,-0.408422551846101,0.531,0.669,0.000177071636382357
"9","MT-CYB",3.2220261235493e-08,-0.258671982207437,0.954,0.964,0.000427144003198931
"10","MT-ATP6",3.362283192717e-08,-0.226497236741014,0.98,0.992,0.000445737882858493
"11","CD52",3.53245453331747e-08,-0.633125910377583,0.346,0.467,0.000468297497481897
"12","RPS23",6.63133045039074e-08,-0.174341273689484,0.99,0.986,0.0008791154778083
"13","MT-CO3",6.64679761591418e-08,-0.288079720726085,0.945,0.959,0.000881165959941743
"14","PLCG2",4.35058047923955e-07,-0.387969433969788,0.13,0.228,0.00576756454132787
"15","TCF25",4.44588767261096e-07,-0.885469093440605,0.133,0.23,0.00589391328758036
"16","RPS9",9.91759541635197e-07,-0.208228644715605,0.949,0.955,0.0131477562434578
"17","MGP",1.00701297044045e-06,0.701571392947529,0.391,0.286,0.013349970949129
"18","RPL41",1.5043949495832e-06,-0.169716633347389,0.99,0.995,0.0199437638466245
"19","RPLP1",1.54507849302017e-06,-0.164794629599081,1,1,0.0204831055819684
"20","S100A4",2.26881928227787e-06,-0.481115663882716,0.607,0.709,0.0300777372251577
"21","TMSB10",3.30148703229016e-06,-0.36667058280519,0.801,0.855,0.0437678135870707
"22","RPS27",4.63724144092039e-06,-0.18887395262146,0.976,0.983,0.0614759097822816
"23","SNHG6",6.13802117443147e-06,-0.385049158889585,0.326,0.439,0.081371746709438
"24","SH3BGRL3",6.32653586916759e-06,-0.449369978633931,0.564,0.678,0.0838708860175547
"25","HSP90AB1",7.60215972936799e-06,0.334346257722386,0.71,0.661,0.100781831532231
"26","RPS19",1.69291433478248e-05,-0.167790939415068,0.993,0.989,0.224429653362114
"27","MT-CO2",1.9669493089566e-05,-0.206630595958301,0.976,0.983,0.260758469888377
"28","MT-CO1",2.81743872306687e-05,0.224748746680143,0.987,0.975,0.373507851516975
"29","RPS18",2.99197049551717e-05,-0.13024631700654,0.993,0.986,0.396645528590711
"30","COMMD6",3.28855980009404e-05,-0.437355227012963,0.318,0.425,0.435964372698467
"31","GIMAP4",3.50488537652056e-05,0.361610482300456,0.482,0.452,0.464642654365331
"32","HMGN2",4.11449519388962e-05,-0.221679285352426,0.308,0.394,0.545458627853947
"33","RPL15",4.19686404639305e-05,-0.163709331189094,0.976,0.975,0.556378266630326
"34","RPS28",4.89963638068589e-05,-0.194155326456442,0.971,0.975,0.649544794987528
"35","FTL",5.2512759699835e-05,-0.696301331601337,0.947,0.961,0.696161655340712
"36","NCL",6.16197472202837e-05,0.351094710092452,0.634,0.58,0.816892988899301
"37","MYL12B",6.49874038784605e-05,-0.291678656312757,0.355,0.456,0.861538013216751
"38","DDX17",6.54764099167704e-05,0.483138585025576,0.455,0.356,0.868020766266625
"39","SNRPN",7.93152459852878e-05,-0.759520302947863,0.115,0.192,1
"40","CBFA2T2",8.08575298107096e-05,2.36037252368046,0.038,0.006,1
"41","MT-ND2",0.000112211893365757,-0.26481946144373,0.92,0.941,1
"42","LIMD2",0.000119286230168362,-0.472337972654036,0.221,0.309,1
"43","TMA7",0.000164788935023513,-0.244617031720397,0.415,0.514,1
"44","FAU",0.000165155553626021,-0.191547865922538,0.93,0.941,1
"45","TXNIP",0.000199286770681935,-0.232218256761044,0.74,0.791,1
"46","MALAT1",0.000218682534927865,0.175449291335743,1,0.998,1
"47","RPL27A",0.000241058553813311,-0.142198880902372,0.97,0.97,1
"48","TOMM7",0.00025464301093423,-0.330035336268987,0.568,0.65,1
"49","ATP5F1E",0.000325419564124269,-0.342060326310071,0.519,0.625,1
"50","EEF2",0.000326156453958828,0.114301170210167,0.474,0.494,1
"51","KCMF1",0.000345335482422265,-0.926790153046224,0.037,0.077,1
"52","NDUFA2",0.00038067362723793,-0.759784896261927,0.104,0.173,1
"53","RPL29",0.000384827183971931,-0.149020008036126,0.951,0.956,1
"54","PLAAT4",0.00046133533565748,-0.493136975600033,0.24,0.311,1
"55","AP002387.2",0.000536801173486469,-1.42248531567029,0.024,0.061,1
"56","HLA-DQB1",0.000593991921159719,-0.988750858867041,0.077,0.125,1
"57","CFAP97",0.000659042291813785,0.787720590292287,0.166,0.105,1
"58","PDLIM4",0.000734860946843834,3.02518833209083,0.012,0,1
"59","AC111182.1",0.000776726482984371,-1.18426503353812,0.022,0.055,1
"60","METRNL",0.000800671571217291,-1.08290935496351,0.044,0.091,1
"61","TRAPPC2L",0.000825285721716053,-0.778874017124417,0.083,0.141,1
"62","SUMO2",0.000836185090826281,-0.299014818167248,0.47,0.561,1
"63","RSL1D1",0.000877153248617563,0.458231619423993,0.166,0.142,1
"64","NDUFB7",0.000921508776252763,-0.675251386050259,0.126,0.194,1
"65","RPS12",0.000922139868749654,-0.100013072332784,0.993,0.988,1
"66","MCRIP1",0.000953849406456119,-0.821102252513714,0.042,0.08,1
"67","IDI1",0.000985676093900408,-0.200471803079526,0.142,0.186,1
"68","OCIAD2",0.00108674479682544,-0.460657335274218,0.104,0.155,1
"69","SPSB3",0.00109824634805157,-0.639182131342737,0.07,0.117,1
"70","VAMP2",0.00109963501099625,-0.507956640652619,0.23,0.302,1
"71","GTF2I",0.00113424867639462,-0.166910166932015,0.13,0.167,1
"72","SCGB2A2",0.00114438557996088,1.03145638702327,0.126,0.072,1
"73","PCED1B-AS1",0.0011586684309296,-0.454700311537978,0.205,0.278,1
"74","RBM8A",0.00116940301821949,-0.419237407894238,0.197,0.272,1
"75","GGNBP2",0.0011875120872357,0.700447965278084,0.175,0.109,1
"76","MED10",0.00120537351841532,-0.662867661594427,0.104,0.166,1
"77","SERF2",0.00121618058213875,-0.2516227382139,0.635,0.727,1
"78","GABARAP",0.00126166211519724,-0.357027259926315,0.298,0.389,1
"79","PPIL4",0.00126295370430336,0.689512906747361,0.152,0.108,1
"80","SNX20",0.00128182481554068,-1.0711800623814,0.036,0.073,1
"81","EIF1",0.00128779290138866,-0.176133684915728,0.883,0.905,1
"82","RILPL2",0.00130559255747242,-0.460657335274218,0.099,0.15,1
"83","TXLNG",0.00131796145372025,1.02518833209083,0.08,0.039,1
"84","UBE2D2",0.00137531740712351,-0.503708106209564,0.194,0.269,1
"85","ZFAND5",0.00146454769326295,-0.403949364232865,0.091,0.131,1
"86","HTATIP2",0.00147956538976585,-0.959980862983372,0.052,0.097,1
"87","JOSD1",0.00149181957795931,-0.779087197034799,0.06,0.106,1
"88","IL32",0.00149717941286355,-0.478138373162169,0.276,0.328,1
"89","RARRES1",0.00160200785235143,0.984673172352119,0.119,0.066,1
"90","BLOC1S1",0.0016575114038909,-0.523248292605209,0.156,0.225,1
"91","HINT1",0.00168825622161882,-0.199631000353968,0.563,0.652,1
"92","NDUFB3",0.00185739183817997,-0.777821119690806,0.087,0.145,1
"93","DDX39B",0.00186521915473714,-0.256647271751223,0.112,0.15,1
"94","TIMP1",0.00189352413021292,0.312874513661449,0.493,0.416,1
"95","PTPRC",0.00193906740368335,0.186355952023344,0.747,0.738,1
"96","SNAI3",0.00201456993497124,-2.03782146543497,0.006,0.027,1
"97","RPL32",0.00208930749069379,-0.115683380702177,0.987,0.984,1
"98","AC016074.2",0.00213792006441789,0.513410177973639,0.281,0.239,1
"99","YBX1",0.0021851663975823,0.30157944949556,0.495,0.447,1
