"","geneID","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"1","TCF25",2.65026490036544e-20,-0.901544093685335,0.355,0.579,4.84627439680824e-16
"2","CCL19",1.34607214276163e-19,6.81634370528486,0.094,0.002,2.46142752025392e-15
"3","TMSB10",7.52369057200025e-19,-0.466276389189488,0.998,1,1.37578205799597e-14
"4","SFRP2",7.6252910448869e-16,-1.09359457370313,0.391,0.494,1.39436072046802e-11
"5","PLXDC1",1.63051594855985e-14,-1.26920180606193,0.172,0.293,2.98156146353654e-10
"6","COL1A1",2.09515772766085e-14,-0.839189869448096,0.586,0.616,3.83120542080064e-10
"7","MT-CO3",2.55772398414552e-14,-0.307506154784036,0.999,0.998,4.6770540774085e-10
"8","TGFB3",6.29115588021348e-14,-1.13787327174416,0.201,0.342,1.15040076425584e-09
"9","ID4",1.10171587517513e-13,0.807647028943734,0.732,0.558,2.01459764934524e-09
"10","CYTOR",2.52486489320784e-13,-1.03887289164429,0.225,0.386,4.61696794371985e-09
"11","CHI3L1",2.83058884649334e-13,-1.3451508157056,0.405,0.444,5.17601476469772e-09
"12","SERPINE1",1.13919955185863e-12,-0.820647563286876,0.321,0.492,2.08314030052869e-08
"13","UACA",1.17852937438514e-12,-0.843212310734729,0.406,0.532,2.15505881400067e-08
"14","PDGFRB",2.24793441588467e-12,-0.435795308354733,0.882,0.857,4.11057287288671e-08
"15","SPON2",2.52967486249007e-12,-0.992568971480195,0.174,0.342,4.62576345354934e-08
"16","NR2F1-AS1",2.7489645687831e-12,-1.2440124634402,0.208,0.321,5.02675661047677e-08
"17","NAV1",5.77615044779874e-12,-0.852236163097882,0.251,0.415,1.05622687088448e-07
"18","C7",2.06902222811353e-11,3.97184895968585,0.079,0.009,3.7834140463284e-07
"19","PLCG2",2.35613557115804e-11,-0.391772083501472,0.247,0.392,4.30842950541959e-07
"20","COL5A3",2.79021150003989e-11,-0.975654131625448,0.249,0.384,5.10218074897294e-07
"21","STRA6",5.17693252469598e-11,-1.51219314197782,0.066,0.158,9.46653881465906e-07
"22","FAH",8.17662419794607e-11,-1.13598245228492,0.111,0.234,1.49517750083642e-06
"23","LRRC75A",1.09250928119516e-10,1.28379296600059,0.216,0.131,1.99776247159346e-06
"24","IGFBP6",1.47953281066031e-10,-0.743658719263333,0.316,0.454,2.70547369757343e-06
"25","DUXAP8",1.97968686523712e-10,-0.741462734382512,0.248,0.397,3.62005540177259e-06
"26","CLEC11A",1.9957967276268e-10,-0.611100852314771,0.417,0.561,3.64951389613837e-06
"27","TMEM204",3.11989037336536e-10,-1.24567442212886,0.076,0.173,5.70503153673591e-06
"28","NES",4.49122608219571e-10,-0.783530058843023,0.215,0.33,8.21265601390308e-06
"29","MRC2",5.12780267875041e-10,-0.744041242196134,0.241,0.406,9.37669997836301e-06
"30","COL14A1",7.67796472680906e-10,0.981566785555777,0.445,0.305,1.4039926299443e-05
"31","ISLR",8.68741888922268e-10,-0.898104677107797,0.159,0.284,1.58858141808326e-05
"32","COL15A1",9.33440389316507e-10,-0.931935725054846,0.194,0.315,1.70688909590416e-05
"33","CTNNB1",9.83575723757094e-10,0.635229365797214,0.554,0.474,1.79856656846222e-05
"34","LHFPL2",1.09318620290092e-09,-0.908852111941805,0.178,0.305,1.99900029062462e-05
"35","PRSS23",1.52533545841893e-09,-0.830013322519763,0.218,0.356,2.78922841926486e-05
"36","IFI27",2.1971077650379e-09,-0.530203430717432,0.534,0.679,4.01763125914831e-05
"37","MT-ND4L",3.46422387450018e-09,0.48770463182827,0.739,0.612,6.33467977691102e-05
"38","COL3A1",3.51240074273496e-09,-0.632365906639403,0.714,0.742,6.42277599816514e-05
"39","COL6A2",3.52012647257311e-09,-0.546012646870404,0.936,0.948,6.43690326774719e-05
"40","FRG1",4.48292848499461e-09,-0.156047924278825,0.309,0.412,8.19748302766114e-05
"41","MEG3",4.56959725384718e-09,-1.00323692090218,0.174,0.315,8.35596553838495e-05
"42","LGALS1",4.70806952245543e-09,-0.330558086693927,0.998,0.997,8.609175928762e-05
"43","VSTM4",5.02120413326458e-09,-0.945965284958904,0.194,0.312,9.18177387808761e-05
"44","RPL36",5.88014572357419e-09,-0.213045414505701,0.998,0.998,0.000107524344701278
"45","SUSD2",6.06397397841468e-09,-1.06589582208738,0.111,0.21,0.000110885828169291
"46","SLC9A3R2",7.28390900797294e-09,-0.734703377616798,0.198,0.318,0.000133193560119793
"47","CFD",8.3432692249393e-09,-2.15361234630671,0.034,0.097,0.00015256502104724
"48","COL6A3",9.0689410260362e-09,-0.594759290153172,0.791,0.819,0.000165834655602098
"49","EVA1B",9.52625378637989e-09,-0.410998069015291,0.645,0.729,0.000174197076737743
"50","THY1",1.20027059799478e-08,-0.641293161720602,0.521,0.565,0.000219481481549326
"51","GPM6B",1.20813270157629e-08,-0.930331839352256,0.159,0.271,0.00022091914581024
"52","TMEM263",1.26402505510786e-08,-0.212114942140621,0.311,0.416,0.000231139621577023
"53","MGP",1.34130754591147e-08,0.378586394460534,0.772,0.617,0.000245271497845372
"54","MPG",1.43662801384467e-08,-0.483385013162068,0.393,0.549,0.000262701798611636
"55","CRYAB",1.46288696990674e-08,1.01456229420289,0.47,0.322,0.000267503511317146
"56","MMP11",1.61504644402482e-08,-1.16833385201347,0.087,0.176,0.000295327392754379
"57","MAF1",1.62653765579492e-08,-0.504443754271471,0.201,0.319,0.000297428675738659
"58","MT-ND3",1.64212420252611e-08,-0.200524666926721,0.994,0.997,0.000300278831673925
"59","PDGFRA",1.81951331152853e-08,-0.572210497547623,0.218,0.365,0.000332716204146107
"60","EDEM1",2.64812870914057e-08,-0.745061896671594,0.073,0.146,0.000484236815753445
"61","BGN",2.83991982545345e-08,-0.381743237993905,0.686,0.661,0.000519307739282418
"62","ILF3",3.13172069641284e-08,-0.417257502890138,0.328,0.467,0.000572666446546051
"63","RPS18",3.13746887981551e-08,-0.169534291882473,1,1,0.000573717559363064
"64","CYBRD1",3.29494082464272e-08,-0.376131592401787,0.305,0.433,0.000602512879194167
"65","CDH11",3.50640133946981e-08,-0.563639395432348,0.286,0.435,0.00064118054893545
"66","ADAMTS12",5.31907535318168e-08,-0.817609066207622,0.138,0.258,0.000972646119082802
"67","S100A16",5.39868502381652e-08,-0.705066476394208,0.454,0.579,0.000987203543455088
"68","GSTO1",7.22773320014748e-08,-0.359466033416898,0.807,0.86,0.00132166329297897
"69","APOD",7.25531417619813e-08,-1.21799192941555,0.293,0.371,0.00132670675025959
"70","CERCAM",7.37391337804218e-08,-0.754553345648891,0.207,0.327,0.00134839380030879
"71","ADAM12",8.26938787469164e-08,-0.87118169397575,0.153,0.278,0.00151214026676611
"72","COL6A1",8.35006698959444e-08,-0.537354726501824,0.94,0.935,0.00152689324971724
"73","PTPRE",8.76146265884392e-08,-0.396028721062006,0.243,0.354,0.0016021210617962
"74","AP2S1",8.96808793334445e-08,-0.378407947852809,0.772,0.842,0.00163990455949137
"75","FHAD1",1.00280081485849e-07,-0.87011971745309,0.117,0.214,0.00183372157005023
"76","TMSB4X",1.17908944705606e-07,-0.403339985358219,0.999,1,0.00215608296288671
"77","RALA",1.27899314892324e-07,-0.523561956057013,0.323,0.457,0.00233876687212103
"78","TGFB1",1.35080555056245e-07,-0.63324558498401,0.226,0.345,0.0024700830297585
"79","CTTN",1.47552878133652e-07,-0.22671054252012,0.301,0.409,0.00269815192955195
"80","CTHRC1",1.49915671488187e-07,-1.08415939720851,0.167,0.304,0.00274135796883299
"81","YIPF3",1.56360316195995e-07,-0.303214460705589,0.289,0.398,0.00285920474195996
"82","EPAS1",1.92595309866568e-07,0.493761898552259,0.694,0.559,0.00352179783622007
"83","UNC5B",1.96037259611306e-07,-0.845224091861515,0.197,0.302,0.00358473732925235
"84","FKBP11",1.96540115843981e-07,-0.409976360187252,0.291,0.426,0.00359393255832304
"85","FAM234A",2.28816284480901e-07,-0.40972733820071,0.153,0.237,0.00418413457801775
"86","PHC2",2.35555488611951e-07,-0.457941872313487,0.338,0.482,0.00430736766475813
"87","PTPN12",2.40864567742836e-07,-0.273961576200325,0.374,0.498,0.0044044494857455
"88","SORBS2",2.49938008548156e-07,1.64224693691307,0.109,0.038,0.00457036642431158
"89","HTRA3",2.59258069674397e-07,-1.46539893049887,0.04,0.105,0.00474079306206603
"90","ARHGDIA",2.76388413563087e-07,-0.59067615191555,0.322,0.465,0.00505403853041461
"91","WIPI2",2.93436361249868e-07,-0.415174163423396,0.251,0.366,0.00536577730181509
"92","PSMC3",3.56796628192414e-07,-0.297222350203902,0.294,0.407,0.00652438314312648
"93","BASP1",3.671852924557e-07,-0.863764222413267,0.207,0.35,0.00671435025784494
"94","DHRS7",3.70747375427945e-07,0.157080031379578,0.331,0.375,0.0067794865070754
"95","A2M",4.52957030199761e-07,-0.412384111005643,0.4,0.505,0.00828277225423282
"96","HGS",4.58606348498302e-07,-0.537098710391761,0.152,0.245,0.00838607568863995
"97","BCAR1",5.07301680914178e-07,-0.866055242740785,0.144,0.263,0.00927651853719665
"98","LAMC3",5.07601597405253e-07,-1.20559187473833,0.039,0.099,0.00928200281015246
