"","geneID","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"1","RPS27",0,-0.450121137085392,1,1,0
"2","RPS28",0,-0.377701551511808,1,1,0
"3","RPL37",9.30070821465507e-317,-0.378172278978142,1,1,2.25635181287532e-312
"4","RPS21",2.71580744716036e-305,-0.428765729744216,0.999,1,6.58854886681103e-301
"5","RPL34",1.44377259366499e-274,-0.358173161215298,1,1,3.50259231223127e-270
"6","RPS29",1.90349063440407e-247,-0.370360937084961,0.999,0.999,4.61786827906428e-243
"7","RPL36",8.54450243218435e-236,-0.322671499344685,1,1,2.07289629004792e-231
"8","RPS15",2.82285360518705e-235,-0.325733836852181,0.999,1,6.84824284618378e-231
"9","RPLP1",4.93441673887398e-232,-0.227431789352274,1,1,1.19708950085083e-227
"10","RPL39",6.01872890506597e-232,-0.320680401914356,1,1,1.460143632369e-227
"11","GAPDH",1.02435303928843e-230,-0.439914405758019,0.999,1,2.48508047331372e-226
"12","RPL41",6.50005368172731e-229,-0.269668237718135,1,1,1.57691302318704e-224
"13","UBA52",3.3974700901799e-226,-0.26096654566867,1,1,8.24226243877644e-222
"14","RPL30",2.29855456722274e-221,-0.293938591907269,1,1,5.57629338008236e-217
"15","TPT1",7.57918205241914e-221,-0.277544163994073,1,1,1.83870956591688e-216
"16","MYL6",4.96801665767773e-210,-0.274032337670933,0.997,1,1.20524084115262e-205
"17","TPI1",3.87191451750021e-205,-0.480093332614713,0.936,0.98,9.39326461945551e-201
"18","LDHA",3.57770474505189e-202,-0.558800901402788,0.919,0.964,8.67951171149589e-198
"19","RPL35A",1.25524179473209e-201,-0.272925787728137,1,1,3.04521659402005e-197
"20","TMSB10",3.84339041323887e-195,-0.374286204652584,0.999,1,9.32406514251751e-191
"21","RPLP2",1.25148908559072e-189,-0.272878366520978,1,1,3.03611252164309e-185
"22","ATP5F1E",1.00524688541619e-187,-0.306602604718538,0.995,0.999,2.43872894401969e-183
"23","TXNIP",1.22022494083946e-187,-0.683431600610922,0.741,0.822,2.96026570647653e-183
"24","CFL1",3.11082279303125e-184,-0.278581393781915,0.993,0.998,7.5468560958938e-180
"25","RPL32",6.53856933371694e-180,-0.252607030109118,1,1,1.58625692035973e-175
"26","TMA7",7.71341092361185e-180,-0.332832536935787,0.957,0.977,1.87127349006824e-175
"27","RPS15A",2.58339869462413e-178,-0.243238170864046,1,1,6.26732523315814e-174
"28","RPL28",2.62021688158419e-176,-0.257635522972314,1,1,6.35664615472324e-172
"29","RPL11",4.74758665656343e-175,-0.25320080379573,1,1,1.15176452288229e-170
"30","RPS9",1.62147070525372e-174,-0.273734975697725,1,1,3.93368793094552e-170
"31","RPS14",9.06532972828447e-171,-0.232432894267422,1,1,2.19924899208181e-166
"32","RPL29",6.43418759087885e-170,-0.282642439502067,1,1,1.56093390954721e-165
"33","PTMA",3.51292322739115e-168,-0.346296949868631,0.999,1,8.52235174965092e-164
"34","RPS12",1.95887737245542e-165,-0.250738667023944,1,1,4.75223650557684e-161
"35","RPS4X",2.55780259536496e-165,-0.244674928467941,1,1,6.20522909635538e-161
"36","RPL10A",3.36158335674262e-165,-0.27467807055863,1,1,8.1552012234576e-161
"37","SERF2",5.46740195405529e-161,-0.195951181713374,0.999,1,1.32639171405381e-156
"38","DDX5",2.20921328972558e-160,-0.34990217055569,0.983,0.996,5.35955144087425e-156
"39","RPS27A",3.7212353749922e-160,-0.215331228318817,1,1,9.02771701973108e-156
"40","RPL3",7.32688224418376e-160,-0.274577948819416,1,1,1.77750163243898e-155
"41","RPL38",2.42577286756193e-158,-0.345841093753748,0.998,0.998,5.88492497670524e-154
"42","MT-ND3",1.16994776832261e-155,-0.244243966478869,0.993,0.999,2.83829328595065e-151
"43","POLR2L",1.65174397432996e-155,-0.305274055970926,0.875,0.923,4.00713088172449e-151
"44","ROMO1",4.76563401538572e-155,-0.449969486885678,0.704,0.781,1.15614281213257e-150
"45","NDUFB1",7.93686274817213e-149,-0.482532645629741,0.659,0.745,1.92548290270656e-144
"46","PGK1",2.29572845602707e-147,-0.503009776726112,0.752,0.841,5.56943723432168e-143
"47","RPL35",4.83827244347965e-143,-0.257363700241076,0.999,1,1.17376489478816e-138
"48","PKM",7.31018746499196e-143,-0.271304549572676,0.96,0.983,1.77345147900705e-138
"49","RPL10",2.45719897247229e-139,-0.245967194965153,1,1,5.96116470721778e-135
"50","RPL8",1.25693856493705e-137,-0.226086392623396,1,1,3.04933295853728e-133
"51","MIF",5.02728005496881e-136,-0.296986762909961,0.999,1,1.21961814133543e-131
"52","RPL37A",9.71041260251598e-136,-0.220890873881593,0.999,1,2.35574609737038e-131
"53","CARHSP1",5.66022190108197e-133,-0.460542908408089,0.696,0.788,1.37316983320249e-128
"54","RPS23",1.06953749735422e-132,-0.208756543081452,1,1,2.59469796858133e-128
"55","RPL6",1.06385011332964e-130,-0.193827056162387,1,1,2.5809003749377e-126
"56","CYBA",9.79958617889343e-130,-0.361069073434864,0.762,0.84,2.37737960699955e-125
"57","ATP5MF",1.96367659521902e-128,-0.359365568322407,0.82,0.883,4.76387942000133e-124
"58","SRP14",3.83974320080754e-127,-0.194994090131292,0.99,0.998,9.31521700515908e-123
"59","RPL22",2.01980220962498e-125,-0.22317135567091,0.999,1,4.9000401605502e-121
"60","UQCRQ",1.06476797308339e-124,-0.287647473815967,0.911,0.944,2.5831271027003e-120
"61","PET100",1.86537759821995e-124,-0.525998354250698,0.503,0.602,4.52540605328159e-120
"62","H3F3A",2.47634120073638e-124,-0.133640329055245,0.999,0.999,6.00760375298647e-120
"63","RPS19",4.37877075795488e-124,-0.220005640697431,1,1,1.06228978587985e-119
"64","YWHAB",1.32054987803975e-122,-0.286230473808623,0.934,0.963,3.20365400412443e-118
"65","RPL36A",3.94847774757439e-122,-0.252409592714518,0.998,1,9.57900701561546e-118
"66","RPL19",8.36783991784745e-122,-0.198896657842263,1,1,2.03003796406979e-117
"67","RPL18A",1.49733420424147e-121,-0.238229716274478,1,1,3.6325327794898e-117
"68","RPS8",2.8982077055786e-118,-0.209705821997798,1,1,7.03105189373368e-114
"69","NDUFB3",1.00744356391914e-117,-0.354631998092761,0.645,0.656,2.44405808606782e-113
"70","S100A11",3.50810437460462e-117,-0.288280469287116,0.998,0.999,8.5106612127908e-113
"71","RPS5",6.90903164053506e-117,-0.230517032293545,0.999,1,1.67613107599381e-112
"72","RPS24",3.3741477000286e-116,-0.195667518040563,1,1,8.18568232026939e-112
"73","UBC",8.21817553585051e-116,-0.27109373450716,0.992,0.997,1.99372938499733e-111
"74","MRPS21",2.1362506603873e-115,-0.287652339221804,0.833,0.888,5.18254410209958e-111
"75","COX20",2.48397307412667e-115,-0.221954039690648,0.624,0.696,6.02611867783131e-111
"76","ENO1",3.05843845456748e-114,-0.354865415864777,0.973,0.99,7.4197716907807e-110
"77","BST2",3.12812217908268e-114,-0.150903105486741,0.736,0.791,7.58882440645458e-110
"78","LY6E",3.52796266279298e-114,-0.366476465888296,0.972,0.989,8.55883741993577e-110
"79","RPS13",1.06112520706377e-112,-0.196965441315075,1,1,2.57428975233671e-108
"80","TMEM258",4.14059895148781e-111,-0.337681060694286,0.905,0.95,1.00450930563094e-106
"81","RPL14",4.3786024046771e-111,-0.20983804775341,1,1,1.06224894337467e-106
"82","RPL18",2.4095641551239e-110,-0.203321597601496,1,1,5.84560264033059e-106
"83","RPS3",2.49127627026637e-110,-0.224500601129289,1,1,6.04383623166621e-106
"84","RPS18",3.31310333265846e-110,-0.186103296046302,1,1,8.03758868502944e-106
"85","FAU",2.38806765445066e-109,-0.195456253225513,1,1,5.7934521296973e-105
