"","geneID","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"1","RPL36",0,-0.408178997788913,1,1,0
"2","RPL37",0,-0.437900708984851,1,1,0
"3","RPL41",0,-0.332936907779048,1,1,0
"4","RPS21",0,-0.479869162650128,1,1,0
"5","RPS27",0,-0.461645407097608,1,1,0
"6","RPS28",0,-0.440477253378007,1,1,0
"7","GAPDH",7.60689143727032e-299,-0.52288784364306,1,1,1.80823416355353e-294
"8","RPS15",1.23964270056579e-293,-0.413715596990716,1,1,2.94675466351493e-289
"9","UBA52",1.00023862902395e-283,-0.298646480023027,1,1,2.37766724505283e-279
"10","RPL34",3.22271339972822e-281,-0.389684575832143,1,1,7.66071202249396e-277
"11","RPLP1",5.14411920952329e-280,-0.269665151981569,1,1,1.22280857729578e-275
"12","RPS29",9.23204338170619e-279,-0.401891856543935,1,1,2.19454903226538e-274
"13","RPL39",4.65311131599503e-270,-0.359009379211068,1,1,1.10609109092518e-265
"14","RPL35A",1.57212667258948e-263,-0.337135219008375,1,1,3.73710231341245e-259
"15","RPL30",1.4566134427832e-256,-0.321306960875783,1,1,3.46251581483995e-252
"16","MYL6",1.76351426840712e-241,-0.283194048321548,0.998,1,4.19204976743057e-237
"17","TPT1",2.79074335124916e-239,-0.308458739320812,1,1,6.63387602025439e-235
"18","RPL37A",5.06054043991644e-238,-0.340029352427714,1,1,1.20294106797254e-233
"19","TPI1",7.60773062590903e-238,-0.562503258898883,0.949,0.987,1.80843364708484e-233
"20","RPL32",4.28075529576503e-227,-0.317064758274212,1,1,1.0175783413563e-222
"21","RPL10A",5.32994350002386e-226,-0.364950081328199,1,1,1.26698086939067e-221
"22","RPLP2",1.4595262175352e-220,-0.31847555614003,1,1,3.46943977170293e-216
"23","RPS15A",7.20951928507267e-219,-0.281775745002516,1,1,1.71377482925462e-214
"24","RPL38",2.68956633698103e-218,-0.380305021966929,0.999,0.999,6.3933681396376e-214
"25","LDHA",7.79892830567565e-217,-0.623437847068009,0.939,0.974,1.85388324754216e-212
"26","ATP5F1E",1.91346406937821e-213,-0.291723888424113,0.998,1,4.54849543931893e-209
"27","TMSB10",1.01876420361853e-212,-0.428183047815208,1,1,2.4217043884216e-208
"28","RPL35",2.73396968324145e-212,-0.356041736760913,1,1,6.49891933403326e-208
"29","RPS4X",3.7026380469722e-212,-0.315710543395846,1,1,8.80154090145761e-208
"30","CFL1",3.73984811666761e-210,-0.300504643427234,0.997,0.999,8.88999295813056e-206
"31","RPS14",9.04340940204906e-210,-0.2995747227476,1,1,2.14970884896108e-205
"32","RPL29",6.45829915321658e-209,-0.367678429120066,1,1,1.53520229171111e-204
"33","RPL28",3.15947372671662e-206,-0.313631558860989,1,1,7.51038499577808e-202
"34","RPS9",4.9816887835759e-205,-0.348497207171815,1,1,1.18419724074383e-200
"35","RPL3",8.01657457614537e-204,-0.36803969393269,1,1,1.90561994249552e-199
"36","MIF",9.90409711951859e-201,-0.38710168371543,1,1,2.35430292628076e-196
"37","SERF2",3.20886322463462e-200,-0.171718479291044,1,1,7.62778877127894e-196
"38","RPL6",4.68013530540838e-200,-0.262102237310724,1,1,1.11251496344863e-195
"39","RPS27A",1.2529436645402e-196,-0.260795923909667,1,1,2.97837238497852e-192
"40","RPL11",8.19468203582986e-193,-0.296382444683399,1,1,1.94795786673712e-188
"41","RPS24",2.09902226081556e-192,-0.28168996944459,1,1,4.98958581618468e-188
"42","PKM",1.59771202716247e-188,-0.304079415632232,0.969,0.988,3.7979212597679e-184
"43","RPL10",1.79172263743398e-188,-0.34425663044633,1,1,4.25910388144432e-184
"44","RPL8",3.31570271824901e-188,-0.313389093465148,1,1,7.88175693154971e-184
"45","RPS19",3.59066523451255e-181,-0.313109707068101,1,1,8.53537032895978e-177
"46","TMA7",1.53103264343447e-180,-0.320174372698397,0.969,0.985,3.63941769670808e-176
"47","RPS5",2.1134361179152e-178,-0.325348647797906,1,1,5.02384899589623e-174
"48","RPS18",3.32388353513959e-178,-0.277837596021287,1,1,7.90120355138032e-174
"49","LY6E",5.41521514240352e-178,-0.474421793178666,0.979,0.993,1.28725079150074e-173
"50","RPS12",6.42216469060109e-178,-0.288158790180968,1,1,1.52661276860279e-173
"51","H3F3A",2.95621852677264e-176,-0.113488642330041,1,1,7.02722705999125e-172
"52","RPL22",2.22541452170039e-174,-0.28057791006519,1,1,5.29003285953399e-170
"53","PTMA",9.27706672615951e-173,-0.4067126611806,0.999,1,2.20525153147538e-168
"54","RPL36A",1.44985585814396e-171,-0.323422195278357,0.999,1,3.446452360394e-167
"55","ACTB",1.2528650684555e-170,-0.403370262892015,0.999,1,2.97818555422556e-166
"56","RPL19",3.78729300808406e-169,-0.27292111641011,1,1,9.00277420951662e-165
"57","RPL18A",2.36239788302871e-168,-0.345430468678458,1,1,5.61565600774754e-164
"58","ACTG1",1.27641648746266e-167,-0.423420205915209,1,1,3.03416963234748e-163
"59","RPS8",1.81136045512741e-166,-0.298368220891175,1,1,4.30578493788337e-162
"60","RPS23",4.53410803102607e-166,-0.260049792465038,1,1,1.07780282005521e-161
"61","RPL18",2.5351935896107e-165,-0.296910866614336,1,1,6.0264086818636e-161
"62","DDX5",6.81323593950013e-164,-0.386902269818262,0.988,0.998,1.61957431517858e-159
"63","ROMO1",8.81117423660051e-164,-0.469936812993228,0.746,0.837,2.09450422778231e-159
"64","CD81",2.17891254124867e-161,-0.355383385730252,0.979,0.992,5.17949300180221e-157
