"","geneID","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"1","MT-ATP6",4.21197837604959e-68,-1.37320859983106,0.817,0.992,5.58381973312894e-64
"2","MT-ND3",4.30886411979436e-46,-1.95081072891231,0.371,0.866,5.71226116361139e-42
"3","MT-CYB",9.40871646346271e-46,-1.3184987324096,0.686,0.964,1.24731354156125e-41
"4","MT-ND2",1.3532537976735e-38,-1.45697038112101,0.611,0.941,1.79400855957576e-34
"5","TXNIP",2.69125165728512e-31,-1.96022475932019,0.406,0.791,3.56779232206289e-27
"6","MT-CO2",5.77233940538468e-30,-0.657750631433105,0.789,0.983,7.65239034971847e-26
"7","MT-CO3",2.555896085025e-28,-0.84677906931151,0.766,0.959,3.38835143991764e-24
"8","MT-ND1",1.71287119000291e-22,-1.12043949777984,0.606,0.891,2.27075333658685e-18
"9","ZFAS1",2.2680491872406e-16,1.1502395116774,0.686,0.477,3.00675280752486e-12
"10","GAS5",8.49082169882582e-16,0.954438808952537,0.771,0.588,1.12562823261334e-11
"11","DDIT3",4.12739412609552e-15,1.63561350996903,0.446,0.175,5.47168639296483e-11
"12","IL7R",1.57062887001103e-14,-1.11726382739815,0.554,0.659,2.08218269297362e-10
"13","RPL17",1.74742127388817e-13,0.459489784657926,0.989,0.977,2.31655638279355e-09
"14","RPL24",6.70848259680657e-13,0.530143135370272,0.983,0.919,8.89343537858646e-09
"15","RPL26",8.40349705223867e-12,0.388650234780273,0.994,0.981,1.11405160421528e-07
"16","CEBPG",2.65373309312281e-10,2.1848255734831,0.229,0.056,3.51805396155291e-06
"17","SNHG32",3.68200527791667e-10,1.26303440583379,0.406,0.22,4.88123439693413e-06
"18","SNHG6",3.68842365930998e-10,0.91962658353598,0.583,0.439,4.88974324514724e-06
"19","GIMAP7",4.43205534594672e-10,-1.11894107272351,0.44,0.597,5.87557577212157e-06
"20","TMSB10",3.0229105280292e-09,-0.497949171659081,0.783,0.855,4.00747248700831e-05
