"","geneID","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"1","TXNIP",7.15474630854428e-53,-2.33574428413836,0.364,0.661,1.30831690998041e-48
"2","MT-CO3",5.72415580549817e-43,-0.554962457679668,0.99,0.998,1.0467191305934e-38
"3","MT-ND3",1.21526494226505e-38,-0.541697546521198,0.959,0.997,2.22223347342588e-34
"4","FTL",1.39718750783724e-33,0.628193458459243,1,1,2.55489707683117e-29
"5","MT-ATP6",8.54650405190358e-27,-0.407406543812207,0.994,0.997,1.56281373093109e-22
"6","NEAT1",1.47994480996219e-25,0.693924619113927,0.984,0.97,2.70622707949686e-21
"7","TMSB10",6.58521585364133e-24,-0.411959116919175,0.993,1,1.20417257099685e-19
"8","SLC3A2",7.7191969694986e-24,0.982691497082124,0.768,0.593,1.41153235784251e-19
"9","MT-ND4",7.73137427101e-22,0.450854988748664,0.986,0.998,1.41375909919689e-17
"10","CCDC102B",2.01167285767274e-19,-1.17055130709178,0.296,0.482,3.67854498754038e-15
"11","IFITM3",3.90507210067501e-19,-0.54739404574883,0.921,0.947,7.14081484329432e-15
"12","MT-CYB",5.17883177194115e-18,-0.393500995603671,0.988,1,9.47001177817159e-14
"13","FTH1",1.06670926236703e-16,0.382551371653416,1,1,1.95058455716435e-12
"14","LDHA",1.48488210130956e-16,-0.603952210209131,0.775,0.869,2.71525541045467e-12
"15","TFPI",1.83629719102835e-15,-0.725342089631372,0.563,0.67,3.35785304351445e-11
"16","CALM1",1.86049317173663e-15,-0.339397377982354,0.989,0.997,3.4020978138376e-11
"17","BRI3",1.86980756330983e-15,0.449639681940359,0.9,0.865,3.41913011026836e-11
"18","NDUFA4L2",2.44368142605705e-15,-1.66023656673874,0.23,0.312,4.46851585568793e-11
"19","PTMS",4.86612745393612e-15,-0.394322558669137,0.888,0.954,8.89820066226759e-11
"20","GDF15",9.83437963153412e-15,2.49894727773122,0.275,0.128,1.79831465942233e-10
"21","P4HA1",9.31617629283671e-14,-0.838920303025172,0.351,0.521,1.70355599690812e-09
"22","FILIP1L",1.60563557910588e-13,-1.15296930027401,0.422,0.567,2.936065219953e-09
"23","S100A4",5.97400396407711e-13,-0.479749829009031,0.549,0.72,1.09240636487114e-08
"24","MT-CO1",5.97421712261249e-13,-0.243099273958208,0.996,0.998,1.09244534304092e-08
"25","PLEKHO1",1.57478767932939e-12,0.790827398880914,0.56,0.415,2.87965675042172e-08
"26","CAV1",2.12968131431066e-12,-0.484143243641714,0.742,0.862,3.89433525134847e-08
"27","SMIM29",2.39935142980687e-12,0.707063035909925,0.512,0.325,4.38745402454484e-08
"28","DDIT3",3.93494061505558e-12,0.909418383944617,0.535,0.429,7.19543240869063e-08
"29","COL1A2",1.04536849855204e-11,-0.34995034051986,0.743,0.881,1.91156083645227e-07
"30","THY1",1.05543452036152e-11,-1.0004643838947,0.448,0.565,1.92996756393307e-07
"31","GNPDA1",1.21572153677542e-11,0.927576172066327,0.415,0.254,2.22306840214753e-07
"32","TAF1D",1.27636980162619e-11,0.58923852552112,0.656,0.489,2.33396981925365e-07
"33","RPL17",1.48413713918155e-11,0.185785497208638,1,1,2.71389317270739e-07
"34","TMEM38B",1.58506053889118e-11,1.08952978135267,0.337,0.19,2.89844170141641e-07
"35","S100A10",1.68608491102292e-11,-0.327359369047803,0.804,0.916,3.08317486829652e-07
"36","COL3A1",3.18024489399073e-11,-0.564525232190841,0.583,0.742,5.81539581315144e-07
"37","NRP1",3.40597180921228e-11,-0.568467482866331,0.474,0.643,6.22816005032557e-07
"38","UACA",6.14942414586378e-11,-0.867341948710805,0.42,0.532,1.12448369931265e-06
"39","DYNLL1",6.38104752436995e-11,-0.246451892058686,0.852,0.947,1.16683835030629e-06
"40","PLAAT4",1.70170934300323e-10,-1.5368735213376,0.104,0.213,3.11174570461571e-06
"41","A2M",1.83271858954958e-10,-0.756561343780922,0.353,0.505,3.35130921285036e-06
"42","TOMM20",2.34685113844024e-10,0.405809659106874,0.884,0.827,4.29145199175182e-06
"43","S100A11",2.44173572679158e-10,-0.26112075953255,0.981,0.995,4.46495795001109e-06
"44","HNRNPM",4.70968229783801e-10,-0.569866455995359,0.495,0.62,8.61212504982658e-06
"45","TKT",4.94816814003633e-10,0.51969911839451,0.763,0.653,9.04822026087042e-06
"46","CAVIN3",6.25428450516754e-10,-0.674773444331922,0.554,0.698,1.14365846461494e-05
"47","SDCBP",7.45708154573558e-10,0.551083540545142,0.736,0.664,1.36360193145321e-05
"48","MIF",9.6283998106114e-10,-0.24580435782355,0.994,0.995,1.7606491893684e-05
"49","MAFG",1.21780597945216e-09,0.896004678258386,0.32,0.175,2.22688001402622e-05
"50","CCNI",1.69421787063658e-09,0.299925178612491,0.954,0.926,3.09804679824606e-05
"51","TES",2.23336671818719e-09,-1.57595872931098,0.064,0.164,4.0839343808771e-05
"52","SUSD2",2.44884341474858e-09,-1.14653791357018,0.094,0.21,4.47795506820926e-05
"53","RPS7",2.85325764418185e-09,0.213413732259992,1,1,5.21746692815094e-05
"54","GPNMB",3.32764592579152e-09,0.677174033337025,0.548,0.416,6.08493333990237e-05
"55","NDUFS8",4.83587238368286e-09,0.498599481829609,0.665,0.515,8.84287624080247e-05
"56","DCN",4.91404603063187e-09,-0.396796053923834,0.494,0.626,8.98582457161344e-05
"57","SRSF5",6.18796730824852e-09,-0.427324059158661,0.686,0.769,0.000113153170198632
"58","CYBA",6.96716902608213e-09,-0.536873521337595,0.483,0.6,0.000127401652810938
"59","GMFG",7.23889479000112e-09,-1.21891432865318,0.11,0.199,0.00013237043012996
"60","ASAH1",7.60402389379192e-09,0.854742713072131,0.494,0.383,0.000139047180921879
"61","GNG11",7.67857934865903e-09,-0.458096407953478,0.611,0.736,0.000140410501969579
"62","MCRIP2",7.78707778944292e-09,1.12529905297761,0.242,0.123,0.000142394504457753
"63","MYL6",9.12314494989938e-09,-0.242141107494653,0.993,0.997,0.00016682582855386
"64","MT-CO2",1.27069490241101e-08,-0.130799527579758,0.991,1,0.000232359269854878
"65","RPS9",1.27581537665141e-08,-0.199469565538421,0.998,1,0.000233295599774477
"66","GAS5",1.61553480002124e-08,0.357241320860127,0.941,0.936,0.000295416693531884
"67","TPI1",1.75151482070298e-08,-0.328321206764304,0.912,0.933,0.000320282000113746
"68","IL1R1",2.21669048124624e-08,0.472655494592159,0.735,0.675,0.000405344021400688
"69","TGFB3",2.28125209344709e-08,-0.925033955866625,0.23,0.342,0.000417149757807734
"70","NFKBIA",2.3009123238149e-08,-0.62248539315166,0.422,0.529,0.000420744827532793
"71","PPIB",2.4992238978277e-08,-0.217719926903197,0.925,0.983,0.000457008081956773
"72","RRAGD",3.14879340049966e-08,1.19766533543407,0.159,0.065,0.000575788361215368
"73","JUNB",3.33901957611451e-08,-0.708785481161474,0.425,0.54,0.0006105731196883
"74","EEF1D",4.22710345862015e-08,0.243016584836823,0.994,0.991,0.00077296813844328
"75","RAB13",6.38229270270516e-08,-0.315809491674405,0.802,0.881,0.00116706604361667
"76","LGALS1",6.73450323955768e-08,-0.195233999519791,0.998,0.997,0.00123147126238552
"77","TRIB3",6.82481513879457e-08,1.49767281206451,0.16,0.076,0.00124798569627998
"78","FAM13A",6.84333003326246e-08,-1.38325033222438,0.096,0.167,0.00125137132988237
"79","DPYSL2",7.16831829654457e-08,-0.601490023897847,0.351,0.488,0.00131079868370614
"80","EID1",7.64024355175032e-08,-0.262909968506022,0.931,0.967,0.00139709493587306
"81","TUBA1A",8.3038223981686e-08,-0.412553281217907,0.456,0.602,0.00151843696372911
"82","LUM",8.62940184444064e-08,-0.330340860755105,0.359,0.497,0.00157797242127442
"83","CYP7B1",8.87693443767715e-08,-1.10533129987377,0.115,0.214,0.00162323623127364
"84","SNHG7",9.60397854956288e-08,0.676138405316805,0.457,0.345,0.00175618351757307
"85","ID3",1.01599345649733e-07,-0.55051770277084,0.607,0.719,0.00185784563455101
"86","NAV1",1.03268101083093e-07,-0.749709201724723,0.295,0.415,0.00188836049640544
"87","HRH2",1.04807884131938e-07,1.98395864196385,0.093,0.024,0.00191651696923662
"88","ARL4C",1.16543925032452e-07,1.11025395927036,0.31,0.214,0.00213112221314342
"89","SPARCL1",1.33535851978943e-07,-0.35481767931015,0.22,0.345,0.00244183658928695
"90","C1S",1.42527418959301e-07,-0.628670788266286,0.373,0.492,0.00260625638308977
"91","TMA7",1.54982373457469e-07,-0.295924578985664,0.812,0.872,0.00283400768104328
"92","PLOD2",2.25053560650704e-07,-0.740124615247501,0.236,0.345,0.00411532941005877
"93","PTMA",2.26180731485425e-07,-0.245818526342806,0.998,1,0.00413594085594248
"94","MYO1E",2.35094340189474e-07,0.895019073701421,0.327,0.217,0.00429893510470472
"95","MARCKS",2.81871681464371e-07,-0.357516851658423,0.69,0.795,0.00515430556725749
"96","ATF4",2.91835409555514e-07,0.447891964967245,0.719,0.603,0.00533650229913212
"97","FOSB",2.96623732056315e-07,-0.744866563613427,0.275,0.398,0.00542406156438177
"98","LACTB",3.20211505048205e-07,0.745317712355629,0.325,0.199,0.00585538758131147
"99","SERPINH1",3.49593736854946e-07,-0.448085282620688,0.542,0.637,0.00639267107212954
"100","CEBPG",3.5644578100915e-07,0.911153334027453,0.269,0.167,0.00651796755153332
"101","TXN",3.92063559058279e-07,0.266848615814521,0.946,0.906,0.00716927424093969
"102","HSPA9",4.08488926802934e-07,0.506047708621983,0.609,0.527,0.00746962851551846
"103","RPS10",4.17502530767555e-07,0.289906899307659,0.928,0.892,0.0076344512776155
"104","NACA",4.27581054922776e-07,0.172422420697394,1,1,0.00781874717031787
"105","PRSS23",4.32290587560266e-07,-0.80842713578603,0.231,0.356,0.00790486568412702
"106","ARRDC4",4.48577449499495e-07,-1.43733784778668,0.057,0.135,0.00820268724154776
"107","BGN",4.49927239761647e-07,-0.498518318460482,0.575,0.661,0.00822736950628147
"108","BRK1",4.55978008361088e-07,-0.307819741329404,0.719,0.789,0.00833801386089086
"109","TNFAIP3",5.28535085562853e-07,-1.04349457077696,0.13,0.229,0.00966479257460232
"110","EEF1G",5.62266805511984e-07,0.177779828565624,0.996,0.997,0.0102816108055921
"111","DDX5",5.76515577386058e-07,-0.316269617946708,0.935,0.97,0.0105421638480815
"112","IRF1",5.95016096235665e-07,-0.860701149140439,0.264,0.351,0.0108804643357654
"113","GOLGA4",6.17224848031467e-07,0.38949931815024,0.775,0.695,0.0112865735711034
"114","MGP",6.36925894503327e-07,-0.809218952660416,0.535,0.617,0.0116468269068878
"115","FGF7",6.40704649290537e-07,-0.382545374946301,0.49,0.625,0.0117159252169268
"116","ZC3H12A",6.6634014804822e-07,-1.74040691542273,0.021,0.078,0.0121846959472098
"117","STX3",6.66561268495981e-07,1.04594051280498,0.191,0.094,0.0121887393557175
"118","CST3",6.83577193142202e-07,-0.302686440367737,0.93,0.939,0.0124998925537983
"119","LINC01128",7.10438395443435e-07,0.996502056947876,0.281,0.181,0.0129910764990786
"120","SFRP1",7.39469755992776e-07,-1.26941140346299,0.22,0.278,0.0135219439580839
"121","GTF3C6",7.68820275788083e-07,-0.616691429376686,0.279,0.395,0.0140586475630609
"122","CCL2",8.77450283808343e-07,-0.653856048633961,0.144,0.248,0.0160450558897194
"123","CYSTM1",9.15356903959319e-07,0.404145751809595,0.716,0.638,0.0167382163458001
"124","C1R",9.423276299261e-07,-0.582586964485045,0.381,0.497,0.0172314030408287
"125","SELENOM",9.85834486306138e-07,-0.242277282257247,0.96,0.967,0.018026969416594
"126","RPL15",9.88552949341083e-07,0.127543954804602,1,1,0.0180766792316511
"127","RND3",1.10250802802849e-06,0.679926588966926,0.63,0.568,0.0201604618005289
"128","MCL1",1.12754877702818e-06,-0.473439671967007,0.516,0.588,0.0206183569367373
"129","NDUFA11",1.12834360901229e-06,-0.23801831643499,0.812,0.813,0.0206328912343987
"130","CFH",1.28179551706202e-06,-1.13243992320976,0.164,0.254,0.0234389128249961
"131","FN1",1.43169037185808e-06,-0.191518399882472,0.7,0.813,0.0261798901397969
"132","MRPL34",1.43593878109399e-06,0.516408401341373,0.528,0.403,0.0262575765510848
"133","PDGFRA",1.44320583910954e-06,-0.497206970516126,0.246,0.365,0.0263904619739571
"134","MT-ND5",1.44612983161597e-06,0.229061832540787,0.973,0.988,0.0264439301009296
"135","CFD",1.46324132412265e-06,-1.96465013244712,0.038,0.097,0.0267568308529068
"136","IL6",1.60578417436951e-06,-1.85084949283456,0.036,0.087,0.0293633694125208
"137","PRRX2",1.79296112815135e-06,-0.447502827217904,0.535,0.6,0.0327860871893756
"138","GGT5",1.88292621820242e-06,-0.822787162482477,0.172,0.278,0.0344311888260495
"139","MARCKSL1",2.03192238047592e-06,-0.694250212699504,0.33,0.438,0.0371557326493827
"140","LURAP1L",2.20341892929172e-06,0.928271748494096,0.199,0.103,0.0402917185410283
"141","CYTOR",2.20526043588317e-06,-0.675104265720315,0.286,0.386,0.0403253923305596
"142","THBS1",2.28969804138857e-06,-0.611160473793482,0.211,0.324,0.0418694183848314
"143","BNIP3L",2.37283785463752e-06,-0.447655138772194,0.554,0.646,0.0433897130099018
"144","CRTC3",2.47346919186217e-06,0.723005652321366,0.206,0.114,0.0452298576423916
"145","SLC25A5",2.54429099263082e-06,0.394885112283399,0.722,0.638,0.0465249050912471
