"","geneID","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"1","RPS10",0,0.594905036576644,0.97,0.939,0
"2","NEAT1",0,0.571242801223887,0.996,0.987,0
"3","FTH1",0,0.148042112785671,1,1,0
"4","MT-ND4",0,0.671246299808774,0.998,0.998,0
"5","RPL15",0,0.40416954385135,1,1,0
"6","RPL17",0,0.450699009718602,1,1,0
"7","RPL23A",0,0.525618417718385,1,1,0
"8","RPL9",0,0.420926089653939,1,1,0
"9","CCNI",9.99602023169237e-315,0.484400993997533,0.99,0.96,2.42503450820857e-310
"10","EEF2",1.6183196368344e-298,0.550435175791559,0.971,0.98,3.92604343896025e-294
"11","RPL24",1.43547896773822e-288,0.355999105691115,1,0.999,3.48247197573291e-284
"12","RPS18",9.27441597111731e-286,0.387340862054726,1,1,2.24997331459306e-281
"13","RPL7A",4.07879843627978e-284,0.488750075497008,1,1,9.89516500641476e-280
"14","RPL13A",1.13538933976218e-280,0.441288960223724,1,1,2.75445453826305e-276
"15","GAS5",6.59127698875374e-273,0.583803394443382,0.974,0.98,1.59904379747166e-268
"16","EEF1G",1.1243216217072e-269,0.408267945218371,0.999,0.998,2.72760425426166e-265
"17","RPS2",1.01819291647595e-255,0.370370150863843,1,1,2.47013601537066e-251
"18","RPL13",7.10764441925338e-252,0.393553449867057,1,1,1.72431453611087e-247
"19","RPL26",1.16478567340545e-248,0.449382883605193,1,1,2.82577004368161e-244
"20","RPL7",2.35797415571526e-242,0.366630022900855,1,1,5.72044530176523e-238
"21","RPS16",2.13710412860615e-240,0.397351868267357,1,1,5.18461461599852e-236
"22","EIF1",2.04794076474327e-230,0.362799869012905,1,0.999,4.96830429526718e-226
"23","RPL5",5.6738447980293e-229,0.34769470362511,1,1,1.37647474800191e-224
"24","MT-ND1",2.90302719516643e-228,0.461980268548838,0.997,0.994,7.04274397547375e-224
"25","BRI3",1.27223678813572e-221,0.461845431226832,0.902,0.738,3.08644644801725e-217
"26","EIF3E",1.48285930670302e-221,0.501660982264543,0.958,0.917,3.59741667806153e-217
"27","RPS3A",3.71101044032604e-215,0.313633630475247,1,1,9.00291132823097e-211
"28","RPL41",6.05984593206096e-215,0.192828127073895,1,1,1.47011862311799e-210
"29","RPL4",4.65573392217174e-210,0.389675952994538,0.998,0.994,1.12948104951886e-205
"30","RPS7",8.15110510040635e-207,0.301864201331939,1,1,1.97745809735858e-202
"31","RPL21",8.05213161001288e-205,0.343862757084477,1,1,1.95344712858912e-200
"32","SNHG7",6.86351892734593e-203,0.868483540091567,0.659,0.491,1.66508969177412e-198
"33","TKT",7.63479391010159e-203,0.498216111830478,0.98,0.946,1.85220100259065e-198
"34","RPL12",8.99271881831469e-203,0.333713970203335,1,0.999,2.18163358532314e-198
"35","ZFAS1",5.03782561033937e-200,0.504262577661026,0.968,0.913,1.22217649306833e-195
"36","RPS19",6.0467880674276e-198,0.362674580421033,1,1,1.46695078515794e-193
"37","RPLP0",2.63180234691531e-197,0.331814094275846,1,1,6.38475249361654e-193
"38","RPL18",2.50664694741619e-196,0.320537232094909,1,1,6.08112549443168e-192
