"","geneID","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"1","MT-ND4",1.06011387649126e-194,0.465334406572413,0.999,0.999,2.51999669580736e-190
"2","NEAT1",2.28279832061691e-189,0.446055284403717,0.997,0.995,5.42643988793844e-185
"3","RPL23A",1.56606205347679e-163,0.281215299779336,1,1,3.72268610731967e-159
"4","RPS10",1.84251794821118e-144,0.379231318753102,0.976,0.969,4.3798494146928e-140
"5","GPNMB",2.86555914475999e-126,2.69707430508925,0.215,0.09,6.81172064300898e-122
"6","SMIM22",7.00841033351741e-120,-0.356474282160457,0.574,0.542,1.66596922038042e-115
"7","CCNI",4.58748250081981e-110,0.284191920822737,0.995,0.986,1.09049046526988e-105
"8","RPL9",4.65254335925988e-107,0.207242452566522,1,1,1.10595608192967e-102
"9","BRI3",5.71774339079621e-94,0.266803694536186,0.912,0.806,1.35916478142617e-89
"10","FTL",1.13498734726248e-93,0.117701980091621,0.997,0.992,2.69797842317765e-89
"11","ROMO1",3.19891917843361e-88,-0.369177241373993,0.746,0.748,7.60415077905454e-84
"12","EEF2",3.04774381903014e-85,0.27761574403031,0.977,0.986,7.24479183221655e-81
"13","IFI27",3.88008541802931e-85,-0.384733146787443,0.489,0.464,9.22335104719747e-81
"14","CRIP1",1.50170403828955e-84,-0.409764044668092,0.53,0.515,3.56970066941809e-80
"15","NDUFB1",1.0270911559694e-83,-0.373170001502205,0.708,0.722,2.44149838685486e-79
"16","NUPR1",4.53432755456401e-80,0.687333578575775,0.882,0.828,1.07785500299541e-75
"17","C19orf33",6.18675489474339e-80,-0.464002418220105,0.354,0.345,1.47065350602945e-75
"18","RPL17",1.59194387555309e-79,0.192182602731955,1,1,3.78420978657726e-75
"19","MT-ND1",5.71689703384023e-78,0.298063106754957,0.998,0.997,1.35896359391416e-73
"20","SNHG7",1.51384274639508e-74,0.511737520831743,0.692,0.623,3.59855559245573e-70
"21","MT-ND2",2.23101710738962e-73,0.324890304267103,0.997,0.997,5.30335076597587e-69
"22","ATOX1",2.85151444832102e-69,-0.28522535388422,0.783,0.776,6.77833499510389e-65
"23","RRAGD",1.27273421423657e-66,1.04803635193666,0.232,0.127,3.02541650066176e-62
"24","PHGDH",3.52802318016149e-65,0.571155983024572,0.415,0.35,8.38646390156188e-61
"25","GAS5",7.5250661853858e-65,0.291167541183034,0.979,0.985,1.78878348292806e-60
"26","COX20",2.26827839926938e-64,-0.201402854591467,0.673,0.668,5.39192458290324e-60
"27","PPP1R14A",5.64503946255259e-64,0.935799299225678,0.219,0.157,1.34188233064338e-59
"28","PET100",2.23627524236793e-62,-0.372412284348276,0.542,0.556,5.31584987863282e-58
"29","GOLGA4",1.16671832914718e-61,0.309774123878436,0.932,0.894,2.77340614021576e-57
"30","EIF3E",6.87291535339751e-61,0.251236765744371,0.969,0.958,1.63376070865612e-56
"31","ISG15",4.18065283878255e-60,-0.701761230338731,0.363,0.355,9.93782986306999e-56
"32","RPL15",1.79682087506082e-59,0.156715932577959,1,1,4.27122290210707e-55
"33","RABGGTB",6.08794475507968e-59,0.658720606622585,0.411,0.274,1.44716534772999e-54
"34","ATF4",3.33887090359325e-58,0.365589705622787,0.774,0.744,7.93683002493151e-54
"35","ACTN1",1.62832028800375e-57,0.35253211996134,0.789,0.82,3.87068015661371e-53
"36","CEBPB",1.90084092219768e-57,0.350967433621546,0.856,0.821,4.5184889561561e-53
"37","CMTM7",1.14848640532522e-56,0.561230494831036,0.384,0.343,2.73006703409858e-52
"38","ZFAS1",9.90813218344831e-56,0.266178043081701,0.978,0.958,2.3552621013275e-51
"39","ATP5ME",1.6529852218694e-55,-0.287923510631065,0.913,0.889,3.92931117090575e-51
"40","TKT",2.14126394409067e-55,0.265326634530578,0.992,0.984,5.08999852149793e-51
"41","BACE2",1.0394916377314e-54,0.501431857366404,0.4,0.337,2.47097557205131e-50
"42","RPL13A",1.43305064167216e-54,0.190232874823784,1,1,3.40650468031888e-50
"43","GDF15",5.70774256889201e-54,0.501088945125039,0.399,0.266,1.35678748605132e-49
"44","DDIT3",7.81716989922268e-54,0.503754192895934,0.682,0.574,1.85821945674422e-49
"45","ATP5MF",1.85387996730624e-53,-0.266232397681161,0.85,0.851,4.40685807028367e-49
"46","MYH9",2.32630962037435e-53,0.35202086521071,0.761,0.777,5.52987059859187e-49
"47","LAMP2",3.41756652482172e-53,0.321555431285793,0.916,0.851,8.12389738615371e-49
