"","geneID","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"1","MT-ATP6",3.62348925429719e-53,-1.14671136309004,0.817,0.98,4.80365970442179e-49
"2","MT-CYB",1.11501670801722e-37,-1.05982675020217,0.686,0.954,1.47817764981843e-33
"3","MT-ND2",1.06520955018575e-31,-1.19215091967728,0.611,0.92,1.41214830068125e-27
"4","MT-ND3",3.73072903358278e-27,-1.43112536415872,0.371,0.75,4.94582747982069e-23
"5","MT-CO2",5.05173505272901e-24,-0.451120035474804,0.789,0.976,6.69708515940285e-20
"6","TXNIP",4.24519332852684e-23,-1.72800650255914,0.406,0.74,5.62785279562803e-19
"7","ZFAS1",5.78173851424696e-20,1.33533391864502,0.686,0.401,7.6648507483372e-16
"8","MT-CO3",1.59055273293244e-19,-0.558699348585426,0.766,0.945,2.10859575804854e-15
"9","GAS5",2.64858791686385e-18,0.97967714494989,0.771,0.547,3.5112330013864e-14
"10","RPL26",1.17088845043591e-15,0.483278055833713,0.994,0.987,1.55224681874289e-11
"11","RPL24",2.70609580111327e-15,0.570116518539027,0.983,0.929,3.58747120353586e-11
"12","RPL17",4.52548338403344e-15,0.485698819951734,0.989,0.977,5.99943332221313e-11
"13","SNHG6",6.30424983993533e-15,1.30467574242557,0.583,0.326,8.35754401280227e-11
"14","RPL41",7.77666859746943e-15,0.467882234728057,0.994,0.99,1.03095295596652e-10
"15","GIMAP7",8.71902666709204e-15,-1.32850074881085,0.44,0.604,1.15588136525639e-10
"16","EIF1",1.10836835586602e-14,0.646380310342779,0.966,0.883,1.46936392937159e-10
"17","DDIT3",3.5083080506011e-14,1.46528052353973,0.446,0.185,4.65096398268187e-10
"18","IL7R",2.60115410113189e-12,-1.06430522014505,0.554,0.681,3.44834999187055e-08
"19","CEBPG",2.69407138272595e-11,2.16263972955379,0.229,0.057,3.57153043207979e-07
"20","RPS19",6.87885654639454e-11,0.500842752689267,0.989,0.993,9.11930012355524e-07
"21","SNHG7",1.14053773952993e-10,1.54596836910529,0.343,0.16,1.51201088129482e-06
"22","MT-ND1",3.87579080920896e-10,-0.740255664100391,0.606,0.804,5.13813587576832e-06
"23","MTRNR2L12",4.29718809500514e-10,0.745364489038768,0.749,0.531,5.69678225754832e-06
"24","RPL30",4.83929713973334e-10,0.319928673768694,0.983,0.988,6.41545621814449e-06
"25","H2AFZ",1.52604105065413e-09,0.833864835417864,0.674,0.419,2.02307262085218e-05
"26","RPS18",3.03278147084762e-09,0.331281341538102,0.994,0.993,4.0205583959027e-05
"27","SNHG32",4.41639369166153e-09,1.14647172072223,0.406,0.219,5.85481311703569e-05
"28","XPOT",5.83421777191622e-09,2.3809091228348,0.149,0.035,7.73442250022933e-05
"29","RPL13",1.15608759108855e-08,0.269225786607189,1,0.999,0.000153262531950609
"30","HIF1AN",1.21076222764546e-08,0.908538448490001,0.029,0.026,0.000160510748518959
"31","SSR3",1.39030765893109e-08,1.23230789020153,0.343,0.143,0.000184313086344494
"32","RPL23A",1.83459878493677e-08,0.403674486640171,0.954,0.898,0.000243212760919067
"33","RPL9",2.38710717928301e-08,0.359482313872087,0.989,0.981,0.000316458798757549
"34","SLC3A2",6.0165373493889e-08,1.33210002007538,0.354,0.17,0.000797612356408487
"35","MT-CO1",6.85810117193596e-08,-0.302964989076019,0.949,0.987,0.00090917847236355
