"","geneID","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"1","TXNIP",6.0315876915445e-59,-2.13055938332068,0.364,0.67,1.10293612527583e-54
"2","NEAT1",4.1422937690889e-44,0.797453432203132,0.984,0.982,7.57459838615596e-40
"3","FTL",1.16260737200907e-39,0.726122406687135,1,1,2.12594384045579e-35
"4","FILIP1L",3.0765968699061e-39,-1.60007781081793,0.422,0.673,5.62586503631029e-35
"5","BRI3",5.82912564031332e-35,0.71454297818587,0.9,0.785,1.06591391458769e-30
"6","GDF15",1.13212652470457e-34,3.05189304056932,0.275,0.08,2.07020656307478e-30
"7","SLC3A2",9.89406173632533e-32,0.973898485702866,0.768,0.633,1.80922812910445e-27
"8","ID4",1.13337726037039e-28,-1.22024147928597,0.521,0.732,2.0724936583133e-24
"9","MGP",3.43829727655177e-28,-1.18780534712095,0.535,0.772,6.28727039990256e-24
"10","RPL15",6.63706583409278e-28,0.244972409239638,1,1,1.21365385842221e-23
"11","CCL19",4.62505266007543e-26,-11.438106124209,0,0.094,8.45737129421393e-22
"12","MT-CO3",2.12775891448933e-25,-0.247456302895632,0.99,0.999,3.89081995103519e-21
"13","FTH1",3.39784904287862e-25,0.55542978730817,1,1,6.21330675980784e-21
"14","MT-ND4",1.44094909313675e-24,0.397511021937579,0.986,0.997,2.63491951170987e-20
"15","MT-ND3",1.8928607856458e-23,-0.341172879594478,0.959,0.994,3.4612852326319e-19
"16","MT-ATP6",4.41148477964415e-23,-0.298090943053691,0.994,0.999,8.0668410680573e-19
"17","PLEKHO1",8.43689111645769e-22,0.917542273678652,0.56,0.346,1.54276990955545e-17
"18","MAFG",5.57555808128368e-21,1.23606322637255,0.32,0.133,1.01954655074353e-16
"19","IFITM3",7.82279426972173e-21,-0.557571322379496,0.921,0.965,1.43047616016132e-16
"20","C1R",1.39809237434986e-20,-1.063370478704,0.381,0.543,2.55655171573615e-16
"21","ID3",1.62206039521074e-20,-0.743093475655195,0.607,0.795,2.96609963868236e-16
"22","GSTO1",1.95375676870848e-20,0.580010503891117,0.856,0.807,3.57263962726033e-16
"23","DDIT3",2.69533901930916e-20,1.01856162479442,0.535,0.398,4.92869693070872e-16
"24","FGF7",6.16389949759009e-20,-0.733702515620628,0.49,0.686,1.12713066212932e-15
"25","MMP2",7.81168328436207e-20,1.59869229224437,0.356,0.188,1.42844440537845e-15
"26","RND3",1.02765310335181e-19,0.956590588406983,0.63,0.589,1.87916646478913e-15
"27","MYO1E",1.95795772434807e-19,1.41328673008892,0.327,0.157,3.58032149474287e-15
"28","LDHA",4.07342494425334e-19,-0.495036230960544,0.775,0.876,7.44866485306166e-15
"29","C1S",4.11617627102546e-19,-0.937515126322244,0.373,0.48,7.52683992919716e-15
"30","BASP1",6.89394962977147e-19,1.64057585640771,0.373,0.207,1.26062762930001e-14
"31","RPS19",7.35317240828987e-18,0.275485514806865,1,1,1.34460110657989e-13
"32","CCDC102B",1.25982330776498e-17,-1.11879155764034,0.296,0.467,2.30371290057904e-13
"33","GNPDA1",1.36166066016726e-17,0.993840674136895,0.415,0.233,2.48993268318186e-13
"34","PTMA",1.44841501957266e-17,-0.353207520182456,0.998,1,2.64857170479057e-13
"35","PNRC1",2.25614460331096e-17,-0.582565313514677,0.694,0.842,4.12558602161442e-13
"36","MT-CO1",4.53693862548681e-17,-0.306279825067637,0.996,1,8.29624597056518e-13
"37","RPL17",5.4559136090346e-17,0.185413517212319,1,1,9.97668362548067e-13
"38","CCNI",8.04503948015289e-17,0.32011216844461,0.954,0.935,1.47111591934076e-12
"39","IGFBP7",1.22601648569801e-16,-0.430828080482198,0.795,0.933,2.24189374574737e-12
"40","SMIM29",1.65214517478036e-16,0.607380408270795,0.512,0.319,3.02111266660336e-12
"41","SYNPO2",2.59403778029978e-16,-1.93208167943489,0.08,0.22,4.74345748505618e-12
"42","EEF1G",2.65201203204894e-16,0.236514161909964,0.996,0.994,4.8494692018047e-12
"43","S100A16",2.96220366836719e-16,0.773383264005471,0.526,0.454,5.41668562797624e-12
"44","ARL4C",3.60177000849589e-16,1.67198964423397,0.31,0.159,6.58619663753558e-12
"45","RPS27L",3.90577800460257e-16,0.499893530565169,0.904,0.876,7.14210565921625e-12
"46","PKN1",4.51416642490751e-16,1.20207087595251,0.28,0.125,8.25460472458587e-12
"47","RPS18",5.29894206524857e-16,0.213625047483069,1,1,9.68964546051354e-12
"48","RALA",1.24421061392723e-15,0.720706744835287,0.507,0.323,2.27516352862732e-11
