"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"1",6.45391051978657e-162,3.201059454218,0.888,0.214,8.29585658213366e-158,0,"CCL5"
"2",1.18445378877465e-67,3.94714406305931,0.406,0.035,1.52249690009094e-63,0,"GZMK"
"3",8.61528142510825e-58,4.69560529606335,0.3,0.013,1.10740827438341e-53,0,"CD8A"
"4",9.21162314601549e-55,2.53958322161774,0.49,0.11,1.18406203918883e-50,0,"CST7"
"5",8.41158660823092e-50,3.50380119456032,0.329,0.031,1.081225342622e-45,0,"KLRK1"
"6",2.57970326563487e-39,3.41104405364047,0.274,0.028,3.31595057764707e-35,0,"CD8B"
"7",9.15808594699728e-31,2.76666667643855,0.271,0.042,1.17718036762703e-26,0,"TRGC2"
"8",3.07761506542567e-23,1.87785520264337,0.311,0.084,3.95596640509815e-19,0,"GZMA"
"9",7.06219821093566e-23,1.59893923070048,0.36,0.113,9.0777495803367e-19,0,"DUSP2"
"10",1.94992479293946e-21,1.40963046554806,0.461,0.192,2.50643332884439e-17,0,"LYAR"
"11",1.23293706608049e-14,0.511518368577082,0.96,0.871,1.58481730473986e-10,0,"BTG1"
"12",3.03629490242845e-14,0.61093527051562,0.85,0.7,3.90285346758153e-10,0,"PTPRC"
"13",7.75246056344045e-12,0.993332420063301,0.45,0.298,9.96501280824635e-08,0,"PIK3R1"
"14",1.50216696208957e-09,0.43947806509049,0.847,0.719,1.93088541306993e-05,0,"HLA-A"
"15",6.4044486753331e-08,0.434920808910022,0.804,0.694,0.000823227832727316,0,"HLA-C"
"16",1.56810391314818e-07,0.368771301446507,0.833,0.766,0.00201564076996068,0,"HLA-B"
"17",1.85532042994399e-07,0.809360217040674,0.435,0.285,0.00238482888065001,0,"ARL4C"
"18",1.91006042426183e-07,0.548068133352598,0.556,0.38,0.00245519166934615,0,"TRAC"
"19",8.89788365795724e-07,0.898418196334263,0.36,0.219,0.0114373396539382,0,"TRBC1"
"20",1.20539187155941e-06,0.488907363109709,0.597,0.424,0.0154941071170247,0,"GIMAP4"
"21",3.27329373692345e-06,0.864290475061562,0.32,0.201,0.0420749176944141,0,"FYN"
"22",7.78293028437817e-06,0.884092748532088,0.268,0.168,0.100041785875397,0,"IL10RA"
"23",1.42572146110521e-05,0.69076965004287,0.418,0.284,0.183262236610463,0,"CD3G"
"24",2.9595575211098e-05,0.703825802868316,0.372,0.246,0.380421523763454,0,"PLAAT4"
"25",3.07040082699389e-05,0.555808057374445,0.536,0.395,0.394669322301795,0,"CD2"
"26",3.09981610569753e-05,0.326183709550033,0.628,0.483,0.39845036222636,0,"CXCR4"
"27",7.0650429169875e-05,0.475640797792125,0.62,0.489,0.908140616549573,0,"ZFP36L2"
"28",9.6163575968207e-05,0.528922307313187,0.47,0.333,1,0,"STK17A"
"29",9.62220320531627e-05,0.6860267349274,0.337,0.217,1,0,"ARRDC3"
"30",0.00017730185904605,0.820078871364164,0.259,0.162,1,0,"KLF3"
"31",0.000274555398527708,0.73169259630126,0.254,0.171,1,0,"TMX4"
"32",0.000461514743807782,0.540650146399325,0.499,0.401,1,0,"TRBC2"
"33",0.000529837831427929,0.601663150223948,0.32,0.224,1,0,"MRPS6"
"34",0.00127174993879079,0.522218996378369,0.36,0.272,1,0,"CD99"
"35",0.00172222865339539,0.253493288204388,0.421,0.317,1,0,"MGP"
"36",0.0018246101329187,0.55041588820902,0.352,0.25,1,0,"SLFN5"
"37",0.00348323066870176,0.361174228971154,0.303,0.263,1,0,"RABAC1"
"38",0.00810908642316054,0.353883331811357,0.398,0.302,1,0,"SYNE2"
"39",0.0086443871213626,0.480475098507004,0.352,0.272,1,0,"KIF2A"
"40",0.00896000865269307,0.506117644912465,0.291,0.207,1,0,"CLEC2B"
"41",5.9355956972767e-40,1.12565605843864,0.857,0.517,7.62961470927947e-36,1,"GIMAP7"
"42",2.90128940361815e-25,1.20345095444074,0.615,0.299,3.72931739941077e-21,1,"KLF2"
"43",2.92140314720916e-25,0.303298276047521,0.886,0.606,3.75517160542265e-21,1,"IL7R"
"44",1.20523887283403e-21,0.369506989812518,1,0.994,1.54921404714086e-17,1,"TPT1"
"45",3.69815118349496e-20,0.364339963363623,1,0.983,4.75360353126442e-16,1,"RPS3A"
"46",1.6494987859806e-19,0.320269752718165,1,0.992,2.12026573949947e-15,1,"RPL13"
"47",3.88412777077118e-19,0.359425672030222,1,0.987,4.99265783654928e-15,1,"RPS12"
"48",5.47093975189938e-18,0.85391419880281,0.598,0.323,7.03234595709146e-14,1,"LTB"
"49",2.18693742080451e-16,0.349674580033439,1,0.984,2.81108936070212e-12,1,"RPS27A"
"50",9.53183271295616e-16,0.837722165300224,0.665,0.408,1.22522177692338e-11,1,"GIMAP4"
"51",1.1354161856349e-14,0.33330603907932,1,0.972,1.4594639650151e-10,1,"RPL34"
"52",5.35855900904812e-14,0.295494734075403,1,0.983,6.88789175023045e-10,1,"RPL11"
"53",1.24526900406084e-13,0.312702167336993,1,0.989,1.6006687778198e-09,1,"RPS8"
"54",1.82632980977241e-13,0.282880882824786,1,0.969,2.34756433748146e-09,1,"RPS27"
"55",4.66634949504334e-13,0.298481727458775,1,0.976,5.99812564092871e-09,1,"RPS15A"
"56",2.05315191125967e-12,0.295078799442377,1,0.98,2.63912146673317e-08,1,"RPS3"
"57",2.22781171959906e-12,0.33627817047941,0.994,0.966,2.86362918437263e-08,1,"RPL3"
