"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"1",6.53335407175193e-111,0.776325635938762,1,0.946,1.23787459597484e-106,0,"MALAT1"
"2",3.70494792249394e-60,1.85451237243442,0.433,0.132,7.01976482874927e-56,0,"NR2F2"
"3",2.91189491917319e-53,1.10378562820497,0.871,0.631,5.51716730335744e-49,0,"FTL"
"4",8.94716312410518e-52,0.79004667615317,0.799,0.498,1.69521899712421e-47,0,"B2M"
"5",1.5664149403427e-47,1.06137236694569,0.708,0.422,2.96788638746731e-43,0,"PTMA"
"6",2.76343698845653e-31,1.20680515939305,0.38,0.16,5.23588406202858e-27,0,"BTG1"
"7",5.35281137971449e-31,0.934378756245291,0.559,0.307,1.0141971721145e-26,0,"CALD1"
"8",2.28690662327722e-30,0.976730220677153,0.437,0.207,4.33300197912335e-26,0,"HLA-A"
"9",3.37897022214661e-29,1.42504195123819,0.338,0.144,6.40213487990118e-25,0,"FILIP1L"
"10",6.31256301352443e-28,1.20825078596409,0.384,0.184,1.19604131417247e-23,0,"SOD2"
"11",1.47887167316799e-25,0.895732235151534,0.506,0.28,2.80201815915139e-21,0,"IGFBP7"
"12",9.43891292324394e-25,1.06192111977926,0.362,0.168,1.78839083156703e-20,0,"HLA-B"
"13",2.3643965587242e-24,0.666178094915335,0.501,0.291,4.47982215981474e-20,0,"H3F3B"
"14",3.07060703351856e-24,1.14750797570928,0.355,0.164,5.81787914640762e-20,0,"ID3"
"15",6.50380648885254e-19,1.13454954989765,0.259,0.113,1.23227621544289e-14,0,"HLA-C"
"16",8.79439638432219e-19,1.04432452514322,0.314,0.154,1.66627428293753e-14,0,"RPS27L"
"17",5.5606179591098e-15,0.424759457593095,0.86,0.765,1.05357028471253e-10,0,"FTH1"
"18",2.07442681731795e-14,0.938797501466926,0.302,0.161,3.93041649077233e-10,0,"JUND"
"19",2.1462392392701e-12,0.763998558632209,0.287,0.16,4.06647948664506e-08,0,"ITM2B"
"20",5.79247710474825e-12,0.652577675850597,0.315,0.178,1.09750063703665e-07,0,"ADIRF"
"21",1.80196560755695e-10,0.83016715031757,0.272,0.156,3.41418423663815e-06,0,"EEF1D"
"22",3.52129378255742e-10,0.766977184818899,0.269,0.155,6.67179532981154e-06,0,"IFITM2"
"23",1.468222124929e-09,0.513252556216832,0.447,0.303,2.78184046010298e-05,0,"MT-ND2"
"24",3.5213058430024e-09,0.323275420522661,0.517,0.384,6.67181818073664e-05,0,"NEAT1"
"25",5.5237917783184e-09,0.450107288620098,0.424,0.294,0.000104659282823799,0,"MT-ND1"
"26",3.05208741113358e-08,0.268729085982019,0.266,0.164,0.00057827900178748,0,"MGP"
"27",3.4110112661326e-05,0.465374045273408,0.264,0.186,0.646284304594143,0,"HMGB1"
"28",0.00146833041897659,0.373440754750977,0.321,0.254,1,0,"NACA"
"29",0.00279392092154035,0.298284808952251,0.334,0.268,1,0,"IFITM3"
"30",1.86938240991257e-291,2.67483836560068,1,0.416,3.54191885206134e-287,1,"TIMP1"
"31",1.81532639894067e-176,2.21411239728207,0.868,0.24,3.4394989280729e-172,1,"COL6A1"
"32",7.46727949542478e-160,2.42643585037458,0.793,0.186,1.41482544599813e-155,1,"COL6A3"
"33",2.4036470536168e-141,2.11568115122335,0.779,0.206,4.55419007248774e-137,1,"COL6A2"
"34",9.77549615762951e-134,2.26687141593054,0.729,0.177,1.85216325698606e-129,1,"COL1A2"
"35",1.55549236872293e-127,1.55189063030128,0.882,0.398,2.94719139101934e-123,1,"LGALS1"
"36",7.62231746227657e-124,2.61996673111633,0.626,0.123,1.44420048957754e-119,1,"COL1A1"
"37",6.15851895380731e-120,2.1787615712039,0.685,0.182,1.16685458617787e-115,1,"FN1"
"38",4.71387386003247e-105,2.28605704811227,0.615,0.146,8.93137680260352e-101,1,"COL3A1"
"39",1.18508439764371e-102,1.34989116670799,0.83,0.353,2.24537940821554e-98,1,"TMSB10"
"40",4.62639806094851e-99,2.87360579698504,0.475,0.076,8.76563640607915e-95,1,"BGN"
"41",1.77539626972714e-94,2.12410214945701,0.58,0.144,3.36384331225201e-90,1,"SH3BGRL3"
"42",1.22990605927476e-82,2.38530176773644,0.49,0.104,2.3303030105079e-78,1,"SPARC"
"43",1.08856476920804e-70,1.32450348350092,0.786,0.4,2.06250366821847e-66,1,"CD63"
"44",3.74147045307795e-61,1.78291127771732,0.49,0.14,7.08896406744679e-57,1,"PPIB"
"45",3.6835441441307e-56,2.71648857184335,0.33,0.062,6.97921108988445e-52,1,"THY1"
"46",4.76703063258515e-55,2.88861546945265,0.288,0.043,9.03209293955907e-51,1,"UACA"
"47",4.07495048521763e-54,1.66993074694802,0.49,0.169,7.72080868434184e-50,1,"TPM2"
"48",4.82823419551109e-50,2.0437937834534,0.366,0.088,9.14805533023487e-46,1,"EMP1"
"49",1.02872130774966e-48,2.31337888985187,0.311,0.062,1.94911826179328e-44,1,"SERPINE1"
"50",2.87340959063684e-47,2.05489101276289,0.364,0.094,5.44424915137962e-43,1,"SFRP2"
"51",3.63307504378769e-46,1.78100193427052,0.308,0.062,6.88358728546453e-42,1,"APOD"
"52",1.26818824946277e-40,2.01133703678641,0.29,0.07,2.40283627625711e-36,1,"LUM"
"53",2.35503138916176e-35,1.32817423331249,0.455,0.186,4.46207797304478e-31,1,"PDGFRB"
"54",2.70972875923608e-33,0.683439345464352,0.821,0.563,5.13412308012461e-29,1,"EEF1A1"
